sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
C=CC(=O)NCC=1C=CC(=CC1)C(=O)N(C2CC2)C3CC(=O)NC3=O,Z1038499666,341.362,341.362,0.5,-3.424,2,4,95.58,8
CCN1C(=O)C(=CNC2=CC=CC=3C(=O)NC(=O)C23)C(=O)N(CC)C1=S,Z107727944,372.4,372.4,2.876,-5.269,2,5,98.82,4
C=CC(=O)N1CC(C1)N2C=C(C#N)C(=O)NC2=O,Z2732399425,246.223,246.223,-0.785,-2.403,1,4,93.51,3
C=CC(=O)NCC1(NC(=O)NC1=O)C=2C=CC=CC2,Z3766092274,259.261,259.261,0.105,-2.618,3,3,87.3,5
CC(Cl)C(=O)NCC1C=2C=CC=CC2C(=O)N1CC=3C=CC=CC3,Z3775050392,342.82,342.82,3.134,-5.203,1,2,49.41,6
C=CC(=O)N(CC=1C=NN(C1)C2CC2(F)F)C=3C=CC=4CNC(=O)C4C3,Z3837400128,358.343,358.343,1.72,-3.683,1,3,67.23,6
C=CC(=O)N1CCCC(C1)N2C=CC(=O)NC2=O,Z3996030585,249.266,249.266,-0.689,-2.131,1,3,69.72,3
CN1CC=2C=C(C=CC2C1=O)CNC(=O)CCl,Z4014520435,252.697,252.697,0.344,-2.509,1,2,49.41,4
C=CC(=O)N(CC=1C(F)=CC(F)=CC1F)C=2C=CC=3CNC(=O)C3C2,Z4874247192,346.304,346.304,3.164,-5.019,1,2,49.41,5
C=CC(=O)NC=1C=CC(=CC1)C(=O)NC2(CC2)C3NC(=O)NC3=O,Z4899188179,328.323,328.323,-0.799,-3.579,4,4,116.4,5
O=C(O)C(F)(F)F.O=C(NC1=CC=CC=2C(=O)NCC12)C(F)Cl,Z6011873123,356.658,242.634,1.036,-3.473,2,2,58.2,4
C[C@@H](NC1=CC(=O)N(C1=O)C2CCC(=O)NC2=O)C=3C=CC(=CC3)C(F)(F)F,Z5266778168,395.333,395.333,2.689,-4.373,2,5,95.58,5
