"Molecule (Canonical)","ExactMW","Source"
"CC(C)CN(C(=O)COC(=O)c1cccnc1Cl)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O",485.146596548,"Screening"
"O=Cc1nc2ccccc2n1CCOc1ccccc1",266.105527688,"Screening"
"O=Cc1nc2ccccc2n1Cc1ccc2ccccc2c1",286.11061306799996,"Screening"
"C=CC(=O)NCc1ccc(C(=O)N2CCN(c3ccccc3Cl)CC2)cc1",383.14005462399996,"Screening"
"CCCN(Cc1ccccc1)C(=O)CCNS(=O)(=O)C=Cc1ccccc1",386.166413692,"Screening"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1",449.07938958000005,"Screening"
"CC(NC(=O)C(C#N)=Cc1ccccc1)C12CC3CC(CC(C3)C1)C2",334.20451345199996,"Screening"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)N1CCN(C(=O)c2ccco2)CC1",379.116820644,"Screening"
"COc1ccc(C2N(c3ccc4c(c3)OCCO4)C(=O)C2(F)F)cc1OC",377.107479084,"Screening"
"N#CC(=Cc1ccc(OC(F)F)cc1)C(=O)Nc1ccc(Br)cn1",392.99244510000005,"Screening"
"O=C1N(c2ccc3c(c2)OCCO3)C(c2ccccc2)C1(F)F",317.08634971600003,"Screening"
"N#CC(=Cc1ccc(Cl)cc1)C(=O)Nc1nc2c(s1)CCN(Cc1ccccc1)C2",434.09680990800007,"Screening"
"CC(C)(C)c1ccc(-c2nn(CCC#N)cc2C=O)cc1",281.152812228,"Screening"
"CN(C(=O)C(C#N)=Cc1ccc(OC(F)F)cc1)c1ccccc1",328.102334128,"Screening"
"N#CC(=Cc1ccccc1)C(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O",378.10044230799997,"Screening"
"Cc1ccc(-c2nn(-c3ccccc3)cc2C=C(C#N)C(=O)Nc2ccc(SC(F)F)cc2)o1",476.111853256,"Screening"
"O=C1N(c2ccccc2)C(c2ccccc2F)C1(F)F",277.0714486,"Screening"
"CSc1nc(C)c(C(=O)c2sc3nc(C)c(C(=O)Nc4ccccc4)cc3c2N)cc1C#N",473.0980168480001,"Screening"
"CC(C)(C)NC(=O)C(C#N)=Cc1ccc(OC(F)F)cc1",294.117984192,"Screening"
"COc1ccc(C=C(C#N)C(=O)Nc2ccc(C34CC5CC(CC(c6ccccc6)(C5)C3)C4)cc2)cc1",488.246378264,"Screening"
"COc1ccc(C=C(C#N)C(=O)Nc2cc(C34CC5CC(CC(C5)C3)C4)ccc2C)cc1",426.2307282,"Screening"
"N#CC(=Cc1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1)C(=O)Nc1ccc(F)cc1",471.084218776,"Screening"
"CCC1CCCCN1c1nc2c(C=O)c(C)nn2c2ccccc12",322.179361324,"Screening"
"N#CC(=Cc1ccc(OC(F)F)cc1)C(=O)N1CCCCCC1",320.133634256,"Screening"
"CC(C)CCN(CCC(C)C)C(=O)C(C#N)=Cc1ccc(OC(F)F)cc1",378.21188457599993,"Screening"
"N#CC(=Cc1ccc(N2CCOCC2)o1)C(=O)Nc1ccc(Cl)cc1",357.088019052,"Screening"
"N#CC(=Cc1ccc(Cl)cc1)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1",423.00560986799996,"Screening"
"N#CC(=Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1nc2ccc(SC(F)F)cc2s1",432.01623862,"Screening"
"CN1C=C(C(F)(F)F)C=CC1=C(C#N)C(=O)Nc1cccc(C(F)(F)F)c1",387.080631292,"Screening"
"COc1cc(-c2nn(-c3ccccc3)cc2C=O)cc(OC)c1OC",338.12665705599994,"Screening"
"Cc1ccc2c(c1NC(=O)C(C#N)=Cc1ccccc1)C(=O)c1ccccc1C2=O",392.1160923719999,"Screening"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)N1c2ccccc2Sc2ccccc21",398.07251330800005,"Screening"
"CCOc1cc(C=C(C#N)C(N)=O)ccc1OCc1ccc(Br)cc1",400.0422545040001,"Screening"
"N#CC(=Cc1cn(-c2ccccc2)nc1-c1ccc(OC(F)F)cc1)C(N)=O",380.108482128,"Screening"
"CCOc1cc(C=C(C#N)C(N)=O)ccc1OCc1ccc(C)cc1",336.1473925,"Screening"
"CCCCOC(=O)c1ccc(NC(=O)C(C#N)=Cc2ccc(N(CC)CC)cc2)cc1",419.2208917880001,"Screening"
"N#CC(=Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1Br",365.01637410399996,"Screening"
"CCOc1cc(C=C(C#N)C(=O)Nc2ccccc2[N+](=O)[O-])ccc1OC(=O)c1ccc(C)cc1",471.14303539199994,"Screening"
