stereo_smiles,LUMO_eV
N#CN1CCC[C@H](c2cccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-7.853678562
O=C1CC[C@@H](NC(=O)c2cnc[nH]2)C(=O)N1,-8.038033442
CN1C(=O)CC[C@@H](CSc2ccc(Cl)cc2)C1=O,-7.72997583
N#CN1CCC[C@@H](c2cccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-7.870109896
Cn1nnnc1[C@H](Nc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2)C1CC1,-7.891234944
Cn1nnnc1[C@@H](Nc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2)C1CC1,-7.877149987
Cn1nnnc1[C@H](Nc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2)C1CC1,-7.883992506
Cn1nnnc1[C@@H](Nc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2)C1CC1,-7.884416507
O=C1CC[C@H](N2Cc3c(cccc3-c3cc4c(s3)C(=O)NCC4)C2=O)C(=O)N1,-7.879565387
O=C1CC[C@@H](N2Cc3c(cccc3-c3cc4c(s3)C(=O)NCC4)C2=O)C(=O)N1,-7.877492044
O=C1CCN(c2ccc(OCc3ccc(CN4CCOCC4)cc3)cc2)C(=O)N1,-7.219625099
O=C1CCN(c2cccc(OCc3ccc(CN4CCOCC4)cc3)c2)C(=O)N1,-7.257576617
C[C@H](C1CC1)N(C(=O)c1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CC1,-7.870593226
O=C1CC[C@H](Nc2cc(Br)ccn2)C(=O)N1,-7.880568369
C[C@@H](C1CC1)N(C(=O)c1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CC1,-7.834143305
C[C@H](C1CC1)N(C(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CC1,-7.860880024
C[C@@H](C1CC1)N(C(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CC1,-7.862806858
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.791270857
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.891326735
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.855563349
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.768357247
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-7.941081394
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-7.951812233
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-7.942060031
O=C1CC[C@@H](Nc2cc(Br)ccn2)C(=O)N1,-7.880543386
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-7.926623265
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CCC5(CCCC5)C4)cc3C2=O)C(=O)N1,-7.928959664
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CCC5(CCCC5)C4)cc3C2=O)C(=O)N1,-7.899144026
Cc1cccc(CO[C@H](C)C(=O)Nc2ccc(N[C@@H]3CCC(=O)NC3=O)cc2)c1,-7.954118284
Cc1cccc(CO[C@@H](C)C(=O)Nc2ccc(N[C@@H]3CCC(=O)NC3=O)cc2)c1,-7.866460768
Cc1cccc(CO[C@H](C)C(=O)Nc2ccc(N[C@H]3CCC(=O)NC3=O)cc2)c1,-7.920172764
Cc1cccc(CO[C@@H](C)C(=O)Nc2ccc(N[C@H]3CCC(=O)NC3=O)cc2)c1,-7.904876882
CN1CCO[C@H](COc2ccc(-c3ccc(N4CCC(=O)NC4=O)cc3)cc2)C1,-7.9046502
CN1CCO[C@@H](COc2ccc(-c3ccc(N4CCC(=O)NC4=O)cc3)cc2)C1,-7.952396671
C[C@](O)(C#Cc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-7.911203911
O=C1CC[C@H](NC(=O)c2cnc3ccccc3n2)C(=O)N1,-8.820070572
C[C@@](O)(C#Cc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-7.91533547
C[C@](O)(C#Cc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-7.281984763
C[C@@](O)(C#Cc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-7.275106918
O=C1CC[C@H](N2Cc3ccc(CNC(=O)[C@@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.932464344
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)[C@@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.932724854
O=C1CC[C@H](N2Cc3ccc(CNC(=O)[C@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.961915323
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)[C@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-7.93698735
O=C1CC[C@H](N2Cc3ccc(CNC(=O)C4[C@H]5CCCC[C@H]45)cc3C2=O)C(=O)N1,-7.923082835
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)C4[C@H]5CCCC[C@H]45)cc3C2=O)C(=O)N1,-7.978486146
O=C1CC[C@H](N2Cc3ccc(CNC(=O)C4[C@@H]5CCCC[C@@H]45)cc3C2=O)C(=O)N1,-7.960687741
O=C1CC[C@@H](NC(=O)c2cnc3ccccc3n2)C(=O)N1,-8.82015995
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)C4[C@@H]5CCCC[C@@H]45)cc3C2=O)C(=O)N1,-7.96577755
O=C1CC[C@H](N2Cc3ccc(NC(=O)C[C@@H]4CCCC45CC5)cc3C2=O)C(=O)N1,-7.876504757
O=C1CC[C@@H](N2Cc3ccc(NC(=O)C[C@@H]4CCCC45CC5)cc3C2=O)C(=O)N1,-7.876118904
O=C1CC[C@H](N2Cc3ccc(NC(=O)C[C@H]4CCCC45CC5)cc3C2=O)C(=O)N1,-7.881065185
O=C1CC[C@@H](N2Cc3ccc(NC(=O)C[C@H]4CCCC45CC5)cc3C2=O)C(=O)N1,-7.888237124
Cc1cc(NC(=O)[C@H](C)n2cc3c(n2)CCCC3)cc(N2CCC(=O)NC2=O)c1,-7.178902899
Cc1cc(NC(=O)[C@@H](C)n2cc3c(n2)CCCC3)cc(N2CCC(=O)NC2=O)c1,-7.171954746
Cc1nc2n(c1C(=O)Nc1ccc(N[C@@H]3CCC(=O)NC3=O)cc1)C[C@H](C)CC2,-7.908820832
Cc1nc2n(c1C(=O)Nc1ccc(N[C@H]3CCC(=O)NC3=O)cc1)C[C@H](C)CC2,-7.90919516
