batch_size,hidden_dim,learning_rate,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
128,8,0.0005,-4.200353690170103,0.8810893554180059,0.8090795001275012,-7.88375689829883,1.1428968717709178,0.9671672058224566,-3.55316719919659,0.8245371039164001,0.7496044780426708
128,8,0.001,-3.77461847260985,0.8435738899661192,0.7752945839719825,-5.961318158473454,0.9735553487533183,0.8114752318139801,-3.514572818913758,0.8200368900381146,0.7506026387499999
128,16,0.0001,-1.1691603079583237,0.5694069181957772,0.4609639168976621,-5.541855698291445,0.9760360722400371,0.7874203591233102,-0.9794404946101015,0.5427488449099117,0.42837861802776717
128,16,0.0005,-0.4142912692200526,0.4586442862404037,0.36594348445570374,-3.78618815266058,0.8337534534782343,0.640166458446881,-0.5395745767311009,0.4795669696169525,0.39282101847426004
128,16,0.001,-0.49988701026898186,0.4715564214152071,0.3860886678795919,-1.3587427870196642,0.5921205579100791,0.40511384351728164,-0.3820065912800826,0.4545308190086524,0.3707494362545182
128,32,0.0001,0.02042786986887594,0.3824040809113997,0.27902692209633423,-3.0792310498478197,0.7790848600557364,0.5731822126352623,0.1446578115243349,0.35733331986038336,0.2607679311486533
128,32,0.0005,0.2133812217660875,0.34286887450319675,0.25473176255684166,-1.049245542836249,0.5488493969969427,0.36613140896215485,0.3445036462164979,0.3127822203278075,0.23641665761683436
128,32,0.001,0.336990336044239,0.3140018429470221,0.23160721233700202,-1.1321734365410825,0.5511499358599296,0.37726310463400264,0.5147814083285831,0.26893049642720657,0.19910065784627037
128,64,0.0001,0.4184181273414896,0.2946105267286731,0.21565728168207668,-1.1977087885639752,0.5717017568805428,0.3967690285714338,0.47484076626714483,0.2801408959210638,0.20481205879804532
128,64,0.0005,0.5656832567237874,0.25486830856940984,0.19062107481982782,-0.8017994964865304,0.5142904804991212,0.34755270239688785,0.5796412647020824,0.2507188577877999,0.18808846965467838
128,64,0.001,0.5549411105662568,0.2579698807566688,0.19252439090594975,-0.06353112849684402,0.3969333127035066,0.26153638626139925,0.6100386749442959,0.24142995792709598,0.18447861972665525
256,8,0.0001,-5.322973493480688,0.9716283540460434,0.8947423532386516,-19.18692589324502,1.7225427973780112,1.479589360985253,-4.957926427972548,0.94388308659662,0.8489242652561974
256,8,0.0005,-4.802441517473654,0.9297845389626632,0.8501975177812929,-9.262718677050577,1.225005217274392,1.0454846368593758,-4.406060572267529,0.8981387250250116,0.7906402214618785
256,8,0.001,-4.256999611567117,0.8853431617082541,0.8045558735909702,-5.929682170456235,1.000590179501725,0.8218799290938411,-3.506330566446802,0.8208236314993282,0.7186943601155109
256,16,0.0001,-1.566331434244496,0.6160752133703709,0.49939908856270726,-8.484852067726262,1.1846538232161399,0.9619590469671593,-0.9571762002735477,0.5408655768153997,0.4323308674052772
256,16,0.0005,-1.0768586949554197,0.5566351903417047,0.4557302447483882,-6.793454478097135,1.0781140829609495,0.8796431631460834,-0.48949081120896026,0.46749249337915294,0.3594783680634266
256,16,0.001,-0.6053783615865941,0.48923367698243153,0.36393660146272794,-5.491039144910324,0.9834423476283979,0.7948311238423361,-0.6054516084067121,0.4897909255491446,0.3976869550874273
256,32,0.0001,0.040344309367631705,0.3783352849758808,0.2765555189729965,-3.618580110818005,0.8286349756676423,0.6170036991871487,-0.11172528080396282,0.4014158022159957,0.2955114093875399
256,32,0.0005,-0.03193959146580768,0.3909602299668791,0.2993066244138268,-2.0049757919432944,0.6589074710931763,0.47678129126395624,0.2085925473293415,0.34267036580290816,0.2511591445346419
256,32,0.001,0.3535912451962992,0.3108841425921734,0.22985795737925643,-0.7490214134326566,0.5027068241199151,0.3337713087841951,0.5481572177569675,0.259929448061937,0.19243204245049741
256,64,0.0001,0.3691680736739569,0.3070918126649818,0.22372527007866083,-1.2857817342334035,0.5846993878083313,0.4147824725495353,0.392478714377629,0.30060480660998606,0.21656568108196497
256,64,0.0005,0.5070201918898146,0.27144275177994875,0.19994085484382726,-1.0415645244594005,0.5502703718252185,0.3803237386195937,0.57914106520206,0.2508970595334567,0.18803702746560116
256,64,0.001,0.5573468920501434,0.2572987557511282,0.19239457716293248,-0.6427092862025756,0.49394121298234667,0.32049358596984373,0.5727845194702313,0.25262207173245393,0.18802134602880463
