batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
16,64,0.0001,0,0.5524697837190988,0.25873419210618814,0.19248440352745663,-0.808765327430657,0.5201561715848771,0.3469496367314887,0.5844309223001973,0.2493240975502706,0.1879687081490909
32,32,0.001,42,0.5739601049748893,0.2524455839970769,0.1873829061822001,0.5807591693996658,0.25042312450736215,0.18204197971440464,0.5706504588951711,0.2534242355097004,0.191067357678135
32,32,0.001,21,0.502660289719038,0.2727527964961887,0.19751737447518913,0.6938530804068124,0.21399695341388855,0.1574523029869287,0.5229219116691719,0.2671390509255748,0.199841417895605
32,32,0.001,0,0.5531326123012363,0.25854251793698096,0.19423271334621633,0.7347395796573712,0.19919520056935175,0.14594472351574428,0.6475893851830051,0.22959748901349641,0.17622964232555227
32,32,0.0005,42,0.502327064564828,0.2728441554524442,0.2049353535831105,-0.5842157679782134,0.4867991478539034,0.3290338766340386,0.5959408504951671,0.24584711498571651,0.18424291042026564
32,32,0.0005,21,0.5868415179642161,0.24859991745246424,0.18723349269017778,-0.2906889963453465,0.43939331711121926,0.29457817604643755,0.4490932998756906,0.2870659423782869,0.2059444839270309
32,32,0.0005,0,0.48993721400938683,0.2762195814695517,0.20276854300997685,-0.3516546060119028,0.4496509423043869,0.3056361778728522,0.5864375301158102,0.2487214287024978,0.18957023698018932
32,32,0.0001,42,0.3796123108008267,0.30463109329866955,0.22029838285109715,-1.0837265531539026,0.5582940591865346,0.3845424741422836,0.309787416637057,0.32131727848203423,0.23459600963110183
32,32,0.0001,21,0.28078957643642855,0.32799757289366044,0.24010639134102452,-1.1572010287220227,0.5680518164184672,0.4065045942710855,0.34146598395026306,0.313856949994943,0.2310753007103345
32,32,0.0001,0,0.16516448145009677,0.3533809244882403,0.25809817562764265,-1.1515300474054078,0.5673046604643476,0.3927214968178446,0.4073769711928025,0.2977363811515772,0.21649735010381121
32,16,0.001,42,0.4347800883766053,0.2907711873886279,0.20925637568826047,0.6917250180059265,0.2147394240995458,0.159038279155549,0.5472874568725856,0.2602279300958994,0.19136655163176908
32,16,0.001,21,0.03430467291646344,0.3800692277866445,0.2883536019922233,0.6992923797993653,0.21208739622887604,0.15816216866299393,0.3988241222753476,0.2998771789245493,0.21725827978433687
32,16,0.001,0,0.3890341479799233,0.30230902474523935,0.22190924923456426,-0.7760088992669603,0.5154246828157459,0.33502765941947393,0.48410009540564214,0.27779560296592054,0.2129561091972968
