stereo_smiles,LUMO_eV
O=C1CC[C@@H](NC(=O)c2cnc(Oc3ccccc3)cn2)C(=O)N1,-7.994790678
N#CN1CC[C@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-7.843654537
N#CN1CC[C@@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-8.043299948
N#CN1CC[C@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-7.82782101
N#CN1CC[C@@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-7.865955725
N#CN1CCC[C@H](c2cc(-c3cccc4c3CN([C@@H]3CCC(=O)NC3=O)C4=O)cs2)C1,-7.930662788
N#CN1CCC[C@@H](c2cc(-c3cccc4c3CN([C@@H]3CCC(=O)NC3=O)C4=O)cs2)C1,-7.922003132
N#CN1CCC[C@H](c2cc(-c3cccc4c3CN([C@H]3CCC(=O)NC3=O)C4=O)cs2)C1,-7.849512566
N#CN1CCC[C@@H](c2cc(-c3cccc4c3CN([C@H]3CCC(=O)NC3=O)C4=O)cs2)C1,-7.930958087
O=C1CC[C@H](Nc2cccc(NC(=O)[C@@H]3OCCn4ccnc43)c2)C(=O)N1,-7.777201074
O=C1CC[C@@H](Nc2cccc(NC(=O)[C@@H]3OCCn4ccnc43)c2)C(=O)N1,-7.783562856
O=C1CC[C@H](Nc2cccc(NC(=O)[C@H]3OCCn4ccnc43)c2)C(=O)N1,-7.777040896
O=C1CC[C@@H](Nc2cccc(NC(=O)[C@H]3OCCn4ccnc43)c2)C(=O)N1,-7.776586541
Cc1cnc2[nH]nc(C(=O)N[C@@H]3CCC(=O)NC3=O)c2c1,-8.1135
Cc1cnc2[nH]nc(C(=O)N[C@H]3CCC(=O)NC3=O)c2c1,-8.087529344
O=C1CC[C@H](NC(=O)c2n[nH]c3nccc(Cl)c23)C(=O)N1,-8.535476927
O=C1CC[C@@H](NC(=O)c2n[nH]c3nccc(Cl)c23)C(=O)N1,-8.535604306
Cn1nc(C(=O)N[C@@H]2CCC(=O)NC2=O)c2cc(S(C)(=O)=O)cnc21,-8.64420537
Cn1nc(C(=O)N[C@H]2CCC(=O)NC2=O)c2cc(S(C)(=O)=O)cnc21,-8.646223469
Cc1cc(NCCCc2ccc3c(n2)NCCC3)cc(N2CCC(=O)NC2=O)c1,-7.019842319
Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N[C@@H]4CCC(=O)NC4=O)c3)cc21,-8.070576585
Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N[C@H]4CCC(=O)NC4=O)c3)cc21,-7.81843065
N#CN1CCC[C@H](c2ccc(-c3snnc3C(=O)N[C@@H]3CCC(=O)NC3=O)cc2)C1,-8.227818582
N#CN1CCC[C@@H](c2ccc(-c3snnc3C(=O)N[C@@H]3CCC(=O)NC3=O)cc2)C1,-8.144801168
N#CN1CCC[C@H](c2ccc(-c3snnc3C(=O)N[C@H]3CCC(=O)NC3=O)cc2)C1,-8.380646813
N#CN1CCC[C@@H](c2ccc(-c3snnc3C(=O)N[C@H]3CCC(=O)NC3=O)cc2)C1,-8.424325153
O=C1CC[C@H](c2ccc(Nc3nc(-c4ccccc4Cl)cs3)cc2)C(=O)N1,-7.691506223
O=C1CC[C@@H](c2ccc(Nc3nc(-c4ccccc4Cl)cs3)cc2)C(=O)N1,-7.683196311
O=C1CC[C@H](NC(=O)c2cc(C[C@@H]3CCCCN3)on2)C(=O)N1,-7.931765453
O=C1CC[C@@H](NC(=O)c2cc(C[C@@H]3CCCCN3)on2)C(=O)N1,-7.937752184
O=C1CC[C@H](NC(=O)c2cc(C[C@H]3CCCCN3)on2)C(=O)N1,-7.929014734
O=C1CC[C@@H](NC(=O)c2cc(C[C@H]3CCCCN3)on2)C(=O)N1,-7.927636028
N#CN1CC[C@H](c2c(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)ccc3c2CCO3)C1,-7.905300704
N#CN1CC[C@@H](c2c(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)ccc3c2CCO3)C1,-7.63075883
N#CN1CC[C@H](c2c(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)ccc3c2CCO3)C1,-7.827453403
N#CN1CC[C@@H](c2c(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)ccc3c2CCO3)C1,-7.767038625
N#CN1CCC[C@H](c2cccc(-c3cc(N[C@@H]4CCC(=O)NC4=O)ncn3)c2)C1,-7.732802371
N#CN1CCC[C@@H](c2cccc(-c3cc(N[C@@H]4CCC(=O)NC4=O)ncn3)c2)C1,-7.731947503
N#CN1CCC[C@H](c2cccc(-c3cc(N[C@H]4CCC(=O)NC4=O)ncn3)c2)C1,-7.673844099
N#CN1CCC[C@@H](c2cccc(-c3cc(N[C@H]4CCC(=O)NC4=O)ncn3)c2)C1,-7.935360336
N#CN1CCC(c2ccccc2C(=O)Nc2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)CC1,-7.853563622
N#CN1CCC(c2ccccc2C(=O)Nc2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)CC1,-7.897439842
O=C1CC[C@H](c2ccc(NC(=O)c3cnn4c3OCC3(CC3)C4)cc2)C(=O)N1,-8.056747586
O=C1CC[C@@H](c2ccc(NC(=O)c3cnn4c3OCC3(CC3)C4)cc2)C(=O)N1,-8.056680396
O=C1CC[C@H](N2Cc3cc(NCc4ccc5c(c4)oc4ccccc45)ccc3C2=O)C(=O)N1,-7.779082783
O=C1CC[C@@H](N2Cc3cc(NCc4ccc5c(c4)oc4ccccc45)ccc3C2=O)C(=O)N1,-7.779263486
O=C1CC[C@H](n2cnc3ccc(OCc4ccc(CN5CCOCC5)cc4)cc32)C(=O)N1,-8.102830256
