sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NC1CCC(=O)NC1=O)C=2NC=3C=CC=CC3C2C4CC4,Z4021440299,311.336,311.336,1.097,-4.461,3,3,91.06,3,https://real.enamine.net/public-enum-files/Z4021440299
CC=1N=C2C=CC(C)=CN2C1C(=O)NC3CCC(=O)NC3=O,Z4484640132,300.313,300.313,0.975,-2.659,2,4,92.57,2,https://real.enamine.net/public-enum-files/Z4484640132
CC1=NC=C(C(=O)N[C@@H]2CCC(=O)NC2=O)N1C=3C=CC=CC3,Z4917770414,312.324,312.324,1.492,-2.441,2,4,93.09,3,https://real.enamine.net/public-enum-files/Z4917770414
CN1C=C(C(=O)N[C@@H]2CCC(=O)NC2=O)C(=N1)C3=CC=C(Cl)S3,Z4917773463,352.797,352.797,1,-3.744,2,4,93.09,3,https://real.enamine.net/public-enum-files/Z4917773463
CCCCCC1=CC=C(O1)C(=O)NC2CCC(=O)NC2=O,Z4934197497,292.331,292.331,1.999,-3.852,2,3,88.41,6,https://real.enamine.net/public-enum-files/Z4934197497
CC1(C)CCC=2NC(=CC2C1)C(=O)NC3CCC(=O)NC3=O,Z5077432806,303.357,303.357,2.02,-3.52,3,3,91.06,2,https://real.enamine.net/public-enum-files/Z5077432806
O=C(NC1CCC(=O)NC1=O)C2=COC(=C2)CN3C=CC=N3,Z6238947654,302.286,302.286,-0.543,-1.575,2,4,106.23,4,https://real.enamine.net/public-enum-files/Z6238947654
O=C(NC1CCC(=O)NC1=O)C2=C(Br)SC=3C=CC=CC23,Z7579039415,367.219,367.219,1.486,-5.22,2,3,75.27,2,https://real.enamine.net/public-enum-files/Z7579039415
O=C(NC1CCC(=O)NC1=O)C=2NN=NC2C3=CC=CS3,Z7579585416,305.314,305.314,0.018,-2.704,3,5,116.84,3,https://real.enamine.net/public-enum-files/Z7579585416
COC1=C(SC(=C1OC)S(N)(=O)=O)C(=O)NC2CCC(=O)NC2=O,Z7602252376,377.396,377.396,-2.251,-2.523,3,7,153.89,5,https://real.enamine.net/public-enum-files/Z7602252376
O=C(NC1CCC(=O)NC1=O)C2=NC(C=3C=CC=CC3C(F)(F)F)=C4C=CC=CN24,Z7761541593,416.354,416.354,3.881,-4.686,2,4,92.57,4,https://real.enamine.net/public-enum-files/Z7761541593
O=C(NC1CCC(=O)NC1=O)C=2C(=NN3C=CC=CC23)C=4C=CC=CC4,Z7762367101,348.356,348.356,1.614,-4.092,2,4,92.57,3,https://real.enamine.net/public-enum-files/Z7762367101
CC=1C=CC(C)=C(C1)C2=CC(=NO2)C(=O)N[C@@H]3CCC(=O)NC3=O,Z7853630637,327.335,327.335,1.79,-4.213,2,4,101.3,3,https://real.enamine.net/public-enum-files/Z7853630637
O=C(N[C@@H]1CCC(=O)NC1=O)C=2C=NN(CC(F)(F)F)N2,Z7863144752,305.214,305.214,-1.15,-1.718,2,5,105.98,4,https://real.enamine.net/public-enum-files/Z7863144752
CC=1NC(=O)SC1C(=O)NC2CCC(=O)NC2=O,Z8489415928,269.279,269.279,-1.601,-2.401,3,4,104.37,2,https://real.enamine.net/public-enum-files/Z8489415928
CCN1N=C(C(C(=O)NC2CCC(=O)NC2=O)=C1C)C(F)F,Z8513315476,314.289,314.289,-0.939,-1.718,2,4,93.09,4,https://real.enamine.net/public-enum-files/Z8513315476
CCC1=C(N=C2C(Br)=CC=CN12)C(=O)NC3CCC(=O)NC3=O,Z8588394248,379.209,379.209,1.885,-3.731,2,4,92.57,3,https://real.enamine.net/public-enum-files/Z8588394248
