"Molecule (Canonical)","ExactMW","label"
"CC#CC(=O)NCC1(SC)CCN(C)CC1",240.12963426,"Covalent"
"CC#CC(=O)NCCc1cncc(O)c1",204.089877624,"Covalent"
"CC#CC(=O)NCC(F)(F)c1nc(C)n[nH]1",228.08226738,"Covalent"
"C#CCC1(NC(=O)C#CC)CCOCC1",205.11027872,"Covalent"
"CC#CC(=O)NCC1CCN(C)C1=O",194.105527688,"Covalent"
"CC#CC(=O)NC1C(=O)NCC1(CC)CC",222.136827816,"Covalent"
"CC#CC(=O)NCc1c2c(n[nH]c1=O)CCCC2",245.11642672,"Covalent"
"CC#CC(=O)NCC(O)[C@H]1COC(C)(C)O1",227.115758024,"Covalent"
"CC#CC(=O)NCc1c(OC)cc[nH]c1=O",220.084792244,"Covalent"
"CC#CC(=O)NCc1cnccn1",175.074561908,"Covalent"
"C=CCn1cc(NC(=O)C#CC)cn1",189.090211972,"Covalent"
"CC#CC(=O)NCC(C)(C)N1CCOCC1",224.15247788,"Covalent"
"CC#CC(=O)NCc1c(C)nn(CC)c1C",219.137162164,"Covalent"
"CC#CC(=O)NC(CC)c1nccs1",208.067034004,"Covalent"
"CC#CC(=O)N1CCN(C(=O)CC)CC1",208.121177752,"Covalent"
"CC#CC(=O)NCc1ccc(C(C)O)c(C)n1",232.121177752,"Covalent"
"CC#CC(=O)NCCc1ccc2cn[nH]c2c1",227.105862036,"Covalent"
"C#CC(NC(=O)C#CC)c1ccc(F)cc1",215.07464216,"Covalent"
"CC#CC(=O)N(Cc1ccccn1)C1CC1",214.110613068,"Covalent"
"CC#CC(=O)N(C)C(C)c1cccc(C#N)c1",226.110613068,"Covalent"
"CC#CC(=O)N(C)CC(O)c1cccc(C#N)c1",242.105527688,"Covalent"
"CC#CC(=O)NCc1noc2c1CC(C)(C)CC2",246.136827816,"Covalent"
"CC#CC(=O)NCC(C)(C)n1cccn1",205.1215121,"Covalent"
"CC#CC(=O)NC1COCCC1(OC)OC",227.115758024,"Covalent"
"CC#CC(=O)NCCC1CCCC1(F)F",215.11217054,"Covalent"
"CC#CC(=O)NC1C(C#N)CCC12CCOCC2",246.136827816,"Covalent"
"CC#CC(=O)NCC(C)(C)C1=CCOCC1",221.141578848,"Covalent"
"CC#CC(=O)N1CC=CCC12CCOC2",205.11027872,"Covalent"
"CC#CC(=O)N1CC(=O)N(CCC(F)(F)F)C1",248.077262252,"Covalent"
"CC#CC(=O)NC1(CO)CCc2ccccc21",229.11027872,"Covalent"
"CC#CC(=O)NCc1nc2cnccc2s1",231.046632908,"Covalent"
"CC#CC(=O)N[C@H]1CCC[C@@H](C(=O)NC2CC2)C1",248.15247788,"Covalent"
"C=CC(=O)NCc1cccc2cc[nH]c12",200.094963004,"Covalent"
"C=CC(=O)NCC1CCCN1c1ccc(C)cc1",244.15756326,"Covalent"
"C=CC(=O)NCCC1CCCCN1C(=O)NC",239.163376912,"Covalent"
"C=CC(=O)NCc1cn(C)nc1-c1ccccn1",242.116761068,"Covalent"
"C=CC(=O)N1CCC(OC)C(C(=O)O)C1",213.10010796,"Covalent"
"C=CC(=O)N1CCC2(CC1)CC2(Cl)C(=O)O",243.066220988,"Covalent"
"C=CC(=O)N[C@@H](c1ccco1)C(F)F",201.060134968,"Covalent"
"C=CC(=O)N1CCNC(=O)C1",154.07422756,"Covalent"
"C=CC(=O)N1CCC(C(N)=O)C1",168.089877624,"Covalent"
"C=CC(=O)NCc1ncc(C)o1",166.07422756,"Covalent"
"C=CC(=O)N1CCC(N(C)C)CC1",182.141913196,"Covalent"
"C=CC(=O)N1Cc2ccccc2C1",173.084063972,"Covalent"
"C=CC(=O)N1CCCC[C@H]1C(=O)O",183.089543276,"Covalent"
"C=CC(=O)NC(c1cccs1)C(C)C",209.0874351,"Covalent"
"C=CC(=O)N1CCCC(NC(C)=O)C1",196.121177752,"Covalent"
"C=CC(=O)NC1CC2CCC1(C)C2(C)C",207.162314292,"Covalent"
"C=CC(=O)Nc1ccc(OC)c(OC)c1",207.089543276,"Covalent"
"C=CC(=O)NC(C)c1c(F)cccc1F",211.080870412,"Covalent"
"C=CC(=O)N1CCN(CC(=O)NC)CC1",211.132076784,"Covalent"
"C=CC(=O)N1CCN(C(=O)N(C)C)CC1",211.132076784,"Covalent"
"C=CC(=O)N1CCCCC1CCC(=O)O",211.120843404,"Covalent"
"C=CC(=O)N[C@H](C(=O)O)c1ccccc1",205.073893212,"Covalent"
"C=CC(=O)Nc1cnn(CC2CCCO2)c1",221.11642672,"Covalent"
