smiles,cov_label,crbn_chemspace,source,cov_crbn_label
Nc1ccc(CNC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1,0.0,1,open_database,0
CNc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1,0.0,1,open_database,0
O=C1CCC(N2Cc3ccc(C(=O)NCc4ccccc4O)cc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)Nc4cc(C(=O)O)[nH]n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3ccc(C(=O)Nc4cc(C(=O)O)[nH]n4)cc3C2=O)C(=O)N1,0.0,1,open_database,0
NC(=O)CC1(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NCC4CCCCCN4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC1(C)CNCCC1NC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NCCC4CCCNC4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC1(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CCCNC1,0.0,1,open_database,0
NCC1CCC(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,0.0,1,open_database,0
NC1(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CCCCC1,0.0,1,open_database,0
NCC1CCC(NC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)CC1,0.0,1,open_database,0
CC1(CNC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)CCCNC1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NC4(C(=O)O)CCCC4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3ccc(C(=O)NC4CCC(C(=O)O)C4)cc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NC4CCC(C(=O)O)C4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3ccc(C(=O)NC4(C(=O)O)CCCC4)cc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cn[nH]c4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
