smiles,cov_crbn_label
Cc1ccc(CC(=NN)C(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl,0
CON=C(Cc1ccc(C)c(Cl)c1)C(=O)NCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0
O=C1CCC(N2Cc3cc(CNC(=O)C(Cc4ccc(F)cc4)=NO)ccc3C2=O)C(=O)N1,0
Cc1ccc(CC(=NO)C(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl,0
Cc1cc(NC(=O)C(C)n2cc3c(n2)CCCC3)cc(N2CCC(=O)NC2=O)c1,0
O=C1CCC(N2Cc3cc(C(=O)NCC4(C(=O)O)CC4)ccc3C2=O)C(=O)N1,0
CCC1CC1CNC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0
NC(=O)CC1(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,0
O=C1CCC(N2Cc3cc(C(=O)NCC4CC4)ccc3C2=O)C(=O)N1,0
O=C1CCC(NC(=O)c2cncc3c(=O)[nH]ccc23)C(=O)N1,0
O=C1CCC(NC(=O)c2cc(C3CCCCC3)on2)C(=O)N1,0
O=C(Nc1cccc2c1C(=O)NC2)c1csc(-c2ccc(F)cc2)n1,0
CC1CN(C(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CCS1,0
C=CC(=O)Nc1ccc(CCC(=O)Nc2ccc3c(c2)C(=O)NC3)cc1,1
N#CN1CCC(c2cncnc2C(=O)Nc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)C1,1
COc1ccc2cc(C(=O)Nc3cccc(C4CC(=O)NC(=O)C4)c3)sc2c1,0
N#CN1CCC(c2cccc(-c3cncc(C(=O)NC4CCC(=O)NC4=O)c3)c2)C1,1
N#CN1CCC(c2ccc(-c3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)[nH]2)CC1,1
N#CN1CCCC(c2ccc(-c3nc(C(=O)NC4CCC(=O)NC4=O)cs3)cc2)C1,1
O=C1CCC2(CC(c3cccnc3OS(=O)(=O)F)=NO2)C(=O)N1,1
O=C1CCC2(CC(c3cncc(OS(=O)(=O)F)c3)=NO2)C(=O)N1,1
O=C1CCC2(CC(c3ccc(OS(=O)(=O)F)nc3)=NO2)C(=O)N1,1
O=C1CCC2(CC(c3cccnc3)=NO2)C(=O)N1,0
O=C1CCC2(CC(c3ccc(S(=O)(=O)F)nc3)=NO2)C(=O)N1,1
O=C1CCC(NC(=O)c2n[nH]c3c2CN(C(=O)C2CCc4nccn42)C3)C(=O)N1,0
Cc1nc(C(=O)Nc2cccc(NC3CCC(=O)NC3=O)c2)nn1-c1nnc[nH]1,0
