batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
32,64,0.0005,21,0.9672701949860725,0.9272915048200345,0.9902506963788301,0.9782765312747579,0.9784122562674095,0.9517211903244449
32,64,0.0005,0,0.9871016691957512,0.9730403416253002,0.9871016691957512,0.9730779341851586,0.9711684370257967,0.9400281608387084
32,64,0.0001,42,0.9650721336370539,0.9258681982756802,0.9893697798025817,0.977454639924739,0.9757023538344722,0.9484968735208985
32,64,0.0001,21,0.967966573816156,0.9287898218586661,0.9860724233983287,0.9691990481254577,0.9784122562674095,0.9517137702676506
32,64,0.0001,0,0.9590288315629742,0.9140860804047154,0.9878603945371776,0.974643935151517,0.9719271623672231,0.9415857127793545
64,8,0.001,42,0.9840546697038725,0.966166867209723,0.9832953682611997,0.9645806579460781,0.9802581624905087,0.9581732666781944
64,8,0.001,21,0.9623955431754875,0.916511861938183,0.983983286908078,0.964224862473678,0.9770194986072424,0.948593093796377
64,8,0.001,0,0.9704097116843703,0.9382188750015499,0.9704097116843703,0.938377509644484,0.9749620637329287,0.9478279984888553
64,8,0.0005,42,0.4753227031131359,0.2469501046679108,0.9863325740318907,0.9710208328819308,0.9817767653758542,0.9613745492960651
64,8,0.0005,21,0.33913649025069637,0.0,0.9777158774373259,0.9502047666972047,0.979108635097493,0.9533166667156845
64,8,0.0005,0,0.7374810318664643,0.5307549083349232,0.9719271623672231,0.9415857127793545,0.9742033383915023,0.9461898542307351
64,8,0.0001,42,0.381169324221716,0.0,0.9711465451784358,0.9387770647592696,0.381169324221716,0.0
64,8,0.0001,21,0.3530640668523677,0.07044513820074041,0.9665738161559888,0.9251316809608864,0.33913649025069637,0.0
64,8,0.0001,0,0.3945371775417299,0.0,0.9696509863429439,0.9365845317534097,0.40667678300455234,0.07480490317869357
64,16,0.001,42,0.979498861047836,0.9565374801046698,0.9931662870159453,0.9855101185129244,0.982536066818527,0.9629550547336881
64,16,0.001,21,0.9665738161559888,0.9260325323819826,0.9895543175487466,0.9768351446595475,0.9888579387186629,0.975142969039062
64,16,0.001,0,0.9613050075872535,0.9188815776975319,0.9833080424886191,0.9651754138146603,0.9711684370257967,0.9400281608387084
64,16,0.0005,42,0.9741837509491268,0.945187424649511,0.9931662870159453,0.9855092569615655,0.9832953682611997,0.9647558177833806
64,16,0.0005,21,0.9686629526462396,0.9302918063639475,0.9881615598885793,0.9735773734333516,0.9881615598885793,0.9735603489207348
64,16,0.0005,0,0.9613050075872535,0.9188499711488588,0.9666160849772383,0.9303996090107065,0.9711684370257967,0.9399375662433934
64,16,0.0001,42,0.46089597570235386,0.024912846849127965,0.9908883826879271,0.9806858455747562,0.381169324221716,0.0
64,16,0.0001,21,0.6566852367688022,-0.04640224372500875,0.9811977715877437,0.9581269384156923,0.924791086350975,0.8433985351559241
64,16,0.0001,0,0.3945371775417299,0.0,0.9650986342943855,0.9272801034261904,0.3945371775417299,0.0
64,32,0.001,42,0.9840546697038725,0.9662900870000551,0.9924069855732726,0.9839048713122969,0.9931662870159453,0.9856152911267759
64,32,0.001,21,0.9818941504178273,0.9598417410706361,0.9867688022284122,0.9707085066730416,0.9756267409470752,0.9468341995743735
64,32,0.001,0,0.9772382397572079,0.9524618174809262,0.9893778452200304,0.9778159586655618,0.9863429438543247,0.9714719116374724
64,32,0.0005,42,0.9673500379650721,0.9308811037876894,0.9931662870159453,0.9855211986224084,0.979498861047836,0.9565610073112436
64,32,0.0005,21,0.9603064066852368,0.9123498871330252,0.9874651810584958,0.9721103325513226,0.9700557103064067,0.9345392638400045
64,32,0.0005,0,0.9650986342943855,0.9268342445955815,0.9795144157814871,0.9571750562499155,0.9772382397572079,0.9525226130990491
64,32,0.0001,42,0.381169324221716,0.0,0.9886104783599089,0.9758678015186868,0.976461655277145,0.9501389264592125
64,32,0.0001,21,0.9463788300835655,0.8816858124606951,0.9825905292479109,0.9611324652939975,0.967966573816156,0.9287898218586661
64,32,0.0001,0,0.5872534142640364,0.3846068116271099,0.9719271623672231,0.941421916163985,0.7723823975720789,0.5177452284882827
64,64,0.001,42,0.9802581624905087,0.9582166822825274,0.9946848899012908,0.9887868141403986,0.9939255884586181,0.9871388468531925
64,64,0.001,21,0.9658774373259053,0.9240928539828379,0.9895543175487466,0.9768351446595475,0.9902506963788301,0.9783573805771135
64,64,0.001,0,0.9772382397572079,0.9524618174809262,0.9817905918057663,0.9620645818025588,0.9711684370257967,0.9400281608387084
64,64,0.0005,42,0.9817767653758542,0.9614566185364037,0.9908883826879271,0.9806766345039278,0.9924069855732726,0.983900660164413
64,64,0.0005,21,0.9686629526462396,0.9302918063639475,0.9895543175487466,0.976783949222269,0.979108635097493,0.9532933334005016
64,64,0.0005,0,0.9772382397572079,0.9524618174809262,0.9893778452200304,0.9777665317139002,0.9711684370257967,0.9400281608387084
64,64,0.0001,42,0.6666666666666666,0.4731506824521075,0.9908883826879271,0.9806761469412428,0.9855732725892179,0.9694432738502943
64,64,0.0001,21,0.9686629526462396,0.9302918063639475,0.9867688022284122,0.9706421896796084,0.9672701949860725,0.9271018344951354
64,64,0.0001,0,0.9385432473444613,0.8731088196477856,0.9840667678300455,0.9666942274751462,0.9673748103186647,0.931663891854237
128,8,0.001,42,0.4145785876993166,0.1459100447377735,0.9924069855732726,0.983900660164413,0.9810174639331815,0.9597438576101543
128,8,0.001,21,0.33913649025069637,0.0,0.9860724233983287,0.9688852491241107,0.9805013927576601,0.9564861631023699
128,8,0.001,0,0.9688922610015175,0.9348594703934133,0.9871016691957512,0.9730403416253002,0.9764795144157815,0.9508373630892949
128,8,0.0005,42,0.5968109339407744,0.30422409968600234,0.9787395596051632,0.9551603682812433,0.381169324221716,0.0
128,8,0.0005,21,0.3412256267409471,0.032776977768349404,0.9811977715877437,0.9579773833805806,0.9763231197771588,0.9470289139584577
128,8,0.0005,0,0.7792109256449166,0.5592079653295382,0.9696509863429439,0.9368186435627077,0.3975720789074355,0.044538187492867115
128,8,0.0001,42,0.381169324221716,0.0,0.8656036446469249,0.7214004480257198,0.381169324221716,0.0
128,8,0.0001,21,0.3530640668523677,0.039601496759324166,0.6608635097493036,0.0,0.33913649025069637,0.0
128,8,0.0001,0,0.3945371775417299,0.0,0.9681335356600911,0.933327004362301,0.41198786039453716,0.0948219949012835
128,16,0.001,42,0.979498861047836,0.956621576469298,0.9954441913439636,0.9903429227873781,0.9832953682611997,0.9646090281576838
