stereo_smiles,HOMO_eV,LUMO_eV,gap_eV,cov_crbn_label,electrophilicity_index_eV
Cc1onc(CC(=O)Nc2cccc([C@H]3CCC(=O)NC3=O)c2)c1-c1nn[nH]n1,-10.13225745,-7.910776116,2.221481332,0,36.63670898043391
Cc1nc(C(=O)Nc2cccc(N[C@@H]3CCC(=O)NC3=O)c2)nn1-c1nnc[nH]1,-10.73321225,-8.026973272,2.706238979,0,32.51233201787558
Cc1nc(C(=O)Nc2cccc(N[C@H]3CCC(=O)NC3=O)c2)nn1-c1nnc[nH]1,-10.77199592,-8.025438021,2.746557903,0,32.1623951911145
O=C1CC[C@H](NC(=O)c2cncc3ccccc23)C(=O)N1,-10.38682292,-8.226077322,2.160745601,0,40.08339242462303
C[C@H](C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-10.75714164,-8.025540493,2.731601146,0,32.287761760709614
C[C@@H](C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-10.73601559,-8.02704571,2.708969877,0,32.489514957013085
C[C@H](C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-9.974295657,-7.98470765,1.989588007,0,40.526706866709226
C[C@@H](C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-9.953651716,-8.071859532,1.881792184,0,43.166171391614
O=C1CC[C@H](c2cccc(NC(=O)C[C@@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-10.51891228,-7.520577521,2.998334755,0,27.133660754332873
O=C1CC[C@@H](c2cccc(NC(=O)C[C@@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-10.60825584,-7.568633506,3.039622332,0,27.174371534450906
O=C1CC[C@H](c2cccc(NC(=O)C[C@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-10.59126237,-7.590497753,3.000764621,0,27.541013951649838
O=C1CC[C@@H](c2cccc(NC(=O)C[C@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-10.58425669,-7.686347167,2.897909526,0,28.797911244678325
O=C1CC[C@H](N2Cc3cc(CNC(=O)c4ccc(F)cc4)ccc3C2=O)C(=O)N1,-10.75113909,-7.881664184,2.869474909,0,30.247812653690044
O=C1CC[C@@H](N2Cc3cc(CNC(=O)c4ccc(F)cc4)ccc3C2=O)C(=O)N1,-10.77774434,-7.91749337,2.860250966,0,30.549059959080356
O=C1CC[C@@H](NC(=O)c2cncc3ccccc23)C(=O)N1,-10.38691347,-8.226069275,2.160844199,0,40.081918773458476
O=C1CC[C@H](N2Cc3c(CNC(=O)c4ccc(F)cc4)cccc3C2=O)C(=O)N1,-10.80856683,-7.951143533,2.857423299,0,30.790566891752775
O=C1CC[C@@H](N2Cc3c(CNC(=O)c4ccc(F)cc4)cccc3C2=O)C(=O)N1,-10.73050037,-7.867225943,2.863274426,0,30.199290441087864
O=C1CCN(c2ccc(Nc3c4c(nc5ncnn35)CCCC4)cc2F)C(=O)N1,-10.58946769,-7.624181981,2.96528571,0,27.96838709497561
O=C1CC[C@H](c2ccc(NC(=O)[C@@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-10.6780401,-7.675056907,3.002983196,0,28.041796087722133
O=C1CC[C@@H](c2ccc(NC(=O)[C@@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-10.69389485,-7.644468913,3.049425937,0,27.570401155156137
O=C1CC[C@H](c2ccc(NC(=O)[C@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-10.68876372,-7.651638326,3.037125394,0,27.68821694631363
O=C1CC[C@@H](c2ccc(NC(=O)[C@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-10.61628616,-7.663343382,2.952942778,0,28.289140809144985
C#C[C@@H]1CCCN1C(=O)COc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,-10.50802902,-7.447489596,3.060539425,1,26.335279831391368
C#C[C@H]1CCCN1C(=O)COc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,-10.51143581,-7.448058209,3.063377605,1,26.3225324305471
C#C[C@@H]1CCCN1C(=O)COc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,-10.58187731,-7.962727773,2.619149534,1,32.82576779409929
COCc1nc(C(=O)N[C@@H]2CCC(=O)NC2=O)cs1,-10.99433981,-7.856643592,3.137696222,0,28.313733236097793
C#C[C@H]1CCCN1C(=O)COc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,-10.60303776,-7.969347446,2.63369031,1,32.74241194288781
COc1ccc2c(c1)OC[C@H](NC(=O)c1cccc(N3CCC(=O)NC3=O)c1)C2,-10.52297317,-7.907517251,2.615455915,0,32.46881119372383
COc1ccc2c(c1)OC[C@@H](NC(=O)c1cccc(N3CCC(=O)NC3=O)c1)C2,-10.44847514,-7.736730621,2.711744521,0,30.48791156476237
CNc1cc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nc(COC)n1,-10.51190801,-7.910164023,2.601743987,0,32.610120335125885
CNc1cc(-c2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)nc(COC)n1,-10.52307753,-7.915371021,2.607706507,0,32.59342875197592
CCc1[nH]ncc1C(=O)NCc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2,-10.14941551,-8.510545613,1.638869902,0,53.1149770776423
CCc1[nH]ncc1C(=O)NCc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2,-10.19044474,-8.513762645,1.676682093,0,52.163641420408574
CCCn1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)n1,-10.13426086,-8.497268763,1.6369921,0,53.01398462654867
CCCn1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)n1,-10.18078091,-8.472533541,1.708247368,0,50.92150974821309
O=C1CC[C@H](c2cccc(NC(=O)c3ccnc([C@@H]4COCCN4)n3)c2)C(=O)N1,-10.38934227,-7.797056387,2.59228588,0,31.8970506554751
COCc1nc(C(=O)N[C@H]2CCC(=O)NC2=O)cs1,-11.06483837,-7.93941724,3.125421134,0,28.88904533226789
O=C1CC[C@@H](c2cccc(NC(=O)c3ccnc([C@@H]4COCCN4)n3)c2)C(=O)N1,-10.39903111,-7.814638612,2.584392495,0,32.09049761055156
O=C1CC[C@H](c2cccc(NC(=O)c3ccnc([C@H]4COCCN4)n3)c2)C(=O)N1,-10.11100403,-7.875069978,2.235934049,0,36.170438296909396
O=C1CC[C@@H](c2cccc(NC(=O)c3ccnc([C@H]4COCCN4)n3)c2)C(=O)N1,-10.13458841,-7.894267601,2.240320806,0,36.27155184592911
CCn1cc(C(=O)NCc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)cn1,-10.50751568,-7.900573729,2.606941949,0,32.49571359075725
CCn1cc(C(=O)NCc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)cn1,-10.51695064,-7.893240916,2.623709721,0,32.29541271427619
O=C1CC[C@H](NC(=O)c2cc(CNC(=O)c3ccc4c(c3)CCC4)n[nH]2)C(=O)N1,-10.43319464,-8.027447701,2.40574694,0,35.41470945841897
O=C1CC[C@@H](NC(=O)c2cc(CNC(=O)c3ccc4c(c3)CCC4)n[nH]2)C(=O)N1,-10.43573868,-8.031907015,2.403831661,0,35.46982335008567
O=C1CC[C@H](NC(=O)c2cn[nH]c2CNC(=O)c2cccc3c2CCC3)C(=O)N1,-10.66865884,-7.987380337,2.681278506,0,32.45166410304999
O=C1CC[C@@H](NC(=O)c2cn[nH]c2CNC(=O)c2cccc3c2CCC3)C(=O)N1,-10.65342865,-8.032385144,2.621043504,0,33.30349502127537
N#CN1CCC[C@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-10.37328337,-8.376819806,1.996463562,1,44.02363957477593
CN1C(=O)CC[C@H](CSc2ccc(Cl)cc2)C1=O,-10.19383127,-7.734043196,2.459788071,0,32.666298232960116
N#CN1CCC[C@@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-10.42433969,-8.304067828,2.120271866,1,41.357107758779144
N#CN1CCC[C@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-10.42257635,-8.275751009,2.146825339,1,40.714472629988826
N#CN1CCC[C@@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-10.45075431,-8.276799299,2.173955013,1,40.33216672846221
N#CN1CCC[C@H](c2ccc(=O)n(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-10.22893376,-8.259740072,1.96919369,1,43.3973384388208
N#CN1CCC[C@@H](c2ccc(=O)n(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-10.34770843,-8.312677889,2.035030541,1,42.77700144529703
N#CN1CCC[C@H](c2ccc(=O)n(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-10.39049166,-8.334467196,2.056024459,1,42.63374429035584
N#CN1CCC[C@@H](c2ccc(=O)n(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-10.42433751,-8.327604466,2.096733046,1,41.92657340691224
N#CN1CCC[C@H](c2cccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-10.40509311,-8.306233786,2.098859325,1,41.702860934828614
N#CN1CCC[C@@H](c2cccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-10.05506802,-7.890621283,2.164446733,1,37.197469409819924
N#CN1CCC[C@H](c2cccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-10.05069588,-7.853678562,2.197017321,1,36.4774802974053
O=C1CC[C@@H](NC(=O)c2cnc[nH]2)C(=O)N1,-10.72775495,-8.038033442,2.689721504,0,32.731531261658255
CN1C(=O)CC[C@@H](CSc2ccc(Cl)cc2)C1=O,-10.19217761,-7.72997583,2.462201783,0,32.61345050440407
N#CN1CCC[C@@H](c2cccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-10.0969441,-7.870109896,2.2268342,1,36.24147559966293
Cn1nnnc1[C@H](Nc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2)C1CC1,-10.25136936,-7.891234944,2.360134418,0,34.86603225023594
Cn1nnnc1[C@@H](Nc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2)C1CC1,-10.32590842,-7.877149987,2.448758435,0,33.82850372587419
Cn1nnnc1[C@H](Nc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2)C1CC1,-10.33705927,-7.883992506,2.453066764,0,33.83588379004192
Cn1nnnc1[C@@H](Nc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2)C1CC1,-10.30605455,-7.884416507,2.421638044,0,34.16006348423913
O=C1CC[C@H](N2Cc3c(cccc3-c3cc4c(s3)C(=O)NCC4)C2=O)C(=O)N1,-10.71967023,-7.879565387,2.840104847,0,30.450598144474192
O=C1CC[C@@H](N2Cc3c(cccc3-c3cc4c(s3)C(=O)NCC4)C2=O)C(=O)N1,-10.7191428,-7.877492044,2.841650758,0,30.425521727771986
O=C1CCN(c2ccc(OCc3ccc(CN4CCOCC4)cc3)cc2)C(=O)N1,-9.853930599,-7.219625099,2.634305501,0,27.664436040357746
O=C1CCN(c2cccc(OCc3ccc(CN4CCOCC4)cc3)c2)C(=O)N1,-9.885224753,-7.257576617,2.627648137,0,27.95994968591888
C[C@H](C1CC1)N(C(=O)c1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CC1,-10.55471081,-7.870593226,2.684117584,0,31.620431873285426
O=C1CC[C@H](Nc2cc(Br)ccn2)C(=O)N1,-10.68702755,-7.880568369,2.806459185,0,30.71090611738804
C[C@@H](C1CC1)N(C(=O)c1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CC1,-10.58036689,-7.834143305,2.746223587,0,30.869134921037922
C[C@H](C1CC1)N(C(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CC1,-10.55829196,-7.860880024,2.697411941,0,31.44364894914753
C[C@@H](C1CC1)N(C(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CC1,-10.56520131,-7.862806858,2.702394457,0,31.41579536623831
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-10.02257675,-7.791270857,2.231305888,0,35.55464630287163
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-9.737035976,-7.891326735,1.84570924,0,42.09210816306247
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-9.618408316,-7.855563349,1.762844966,0,43.30211839927943
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-9.927582883,-7.768357247,2.159225636,0,36.25678250845671
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-9.766387613,-7.941081394,1.825306219,0,42.94545969465433
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-9.786955876,-7.951812233,1.835143643,0,42.86638476845316
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-9.732531578,-7.942060031,1.790471547,0,43.61856364994405
O=C1CC[C@@H](Nc2cc(Br)ccn2)C(=O)N1,-10.68725616,-7.880543386,2.806712777,0,30.70880487002873
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CC[C@H]5CCCC[C@H]54)cc3C2=O)C(=O)N1,-9.729024647,-7.926623265,1.802401381,0,43.23702623601546
O=C1CC[C@H](N2Cc3ccc(C(=O)N4CCC5(CCCC5)C4)cc3C2=O)C(=O)N1,-10.36855544,-7.928959664,2.439595774,0,34.308866098764206
O=C1CC[C@@H](N2Cc3ccc(C(=O)N4CCC5(CCCC5)C4)cc3C2=O)C(=O)N1,-10.38430751,-7.899144026,2.485163486,0,33.62802909672045
Cc1cccc(CO[C@H](C)C(=O)Nc2ccc(N[C@@H]3CCC(=O)NC3=O)cc2)c1,-10.36790722,-7.954118284,2.413788941,0,34.76863830834272
Cc1cccc(CO[C@@H](C)C(=O)Nc2ccc(N[C@@H]3CCC(=O)NC3=O)cc2)c1,-10.36810173,-7.866460768,2.501640964,0,33.228116492166215
Cc1cccc(CO[C@H](C)C(=O)Nc2ccc(N[C@H]3CCC(=O)NC3=O)cc2)c1,-10.38441636,-7.920172764,2.464243593,0,33.9919705939618
Cc1cccc(CO[C@@H](C)C(=O)Nc2ccc(N[C@H]3CCC(=O)NC3=O)cc2)c1,-10.34853169,-7.904876882,2.443654806,0,34.08694669949662
CN1CCO[C@H](COc2ccc(-c3ccc(N4CCC(=O)NC4=O)cc3)cc2)C1,-10.35394546,-7.9046502,2.44929526,0,34.027779431068964
CN1CCO[C@@H](COc2ccc(-c3ccc(N4CCC(=O)NC4=O)cc3)cc2)C1,-10.35975029,-7.952396671,2.407353618,0,34.823999662319395
C[C@](O)(C#Cc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-10.3921707,-7.911203911,2.480966791,0,33.7583642157062
O=C1CC[C@H](NC(=O)c2cnc3ccccc3n2)C(=O)N1,-10.14247297,-8.820070572,1.322402396,0,67.97818475486297
C[C@@](O)(C#Cc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-10.34283042,-7.91533547,2.427494953,0,34.331752292088034
C[C@](O)(C#Cc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-9.818450531,-7.281984763,2.536465767,0,28.822081008227624
C[C@@](O)(C#Cc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C1CCNCC1,-9.864434669,-7.275106918,2.589327752,0,28.362949184937953
O=C1CC[C@H](N2Cc3ccc(CNC(=O)[C@@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-10.49254843,-7.932464344,2.560084083,0,33.15136190021607
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)[C@@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-9.97894004,-7.932724854,2.046215186,0,39.197702845480684
O=C1CC[C@H](N2Cc3ccc(CNC(=O)[C@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-10.47117601,-7.961915323,2.509260689,0,33.85248666870576
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)[C@H]4[C@@H]5CCCC[C@@H]54)cc3C2=O)C(=O)N1,-10.48602247,-7.93698735,2.549035124,0,33.28782012772065
O=C1CC[C@H](N2Cc3ccc(CNC(=O)C4[C@H]5CCCC[C@H]45)cc3C2=O)C(=O)N1,-10.48254195,-7.923082835,2.559459119,0,33.08970840864272
O=C1CC[C@@H](N2Cc3ccc(CNC(=O)C4[C@H]5CCCC[C@H]45)cc3C2=O)C(=O)N1,-9.958515272,-7.978486146,1.980029126,0,40.6226372688891
