molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
6504,ligand_6504.sdf,-10.12199315,-8.085318746,2.036674407,-34512.33052,11
6505,ligand_6505.sdf,-10.1329323,-8.090383052,2.042549253,-34512.3322,9
6506,ligand_6506.sdf,-10.04245402,-7.096991931,2.94546209,-34395.70295,28
6507,ligand_6507.sdf,-10.41350415,-7.936348624,2.477155525,-33775.81382,26
6508,ligand_6508.sdf,-10.39535422,-7.918566839,2.476787381,-33775.81598,30
6509,ligand_6509.sdf,-10.60967983,-7.842276125,2.767403703,-33776.80085,18
651,ligand_651.sdf,-10.75509005,-7.754414391,3.000675661,-25780.59432,3
6510,ligand_6510.sdf,-10.59087686,-7.825459769,2.765417091,-33776.7994,22
6511,ligand_6511.sdf,-10.60185894,-7.681541568,2.920317371,-33775.69199,18
6512,ligand_6512.sdf,-10.61155193,-7.715163437,2.896388488,-33775.63693,30
6513,ligand_6513.sdf,-10.41583338,-7.677448541,2.73838484,-33775.75012,28
6514,ligand_6514.sdf,-10.48542668,-7.469650315,3.015776362,-33775.64749,28
6515,ligand_6515.sdf,-10.6468393,-7.717094512,2.929744789,-33775.74096,34
6516,ligand_6516.sdf,-10.40792875,-7.509613769,2.898314976,-33775.68781,21
6517,ligand_6517.sdf,-10.45351485,-7.627052642,2.826462206,-33775.62403,19
6518,ligand_6518.sdf,-10.6183977,-7.663672895,2.954724804,-33775.70856,25
6519,ligand_6519.sdf,-10.5128879,-7.696803799,2.816084098,-33775.78321,16
652,ligand_652.sdf,-10.2998031,-8.007584233,2.292218863,-25780.23609,10
6520,ligand_6520.sdf,-10.50500636,-7.693149679,2.811856683,-33775.87425,11
6521,ligand_6521.sdf,-10.52385747,-7.708367901,2.815489571,-33775.81442,12
6522,ligand_6522.sdf,-10.53896506,-7.736181233,2.802783829,-33775.84462,9
6523,ligand_6523.sdf,-10.54117307,-7.738089202,2.803083865,-33775.84454,14
6524,ligand_6524.sdf,-10.55667454,-7.757461587,2.799212951,-33775.87368,15
6525,ligand_6525.sdf,-10.51267537,-7.703527243,2.809148132,-33775.8749,13
6526,ligand_6526.sdf,-10.51029211,-7.680172613,2.830119501,-33775.78412,12
6527,ligand_6527.sdf,-10.69611081,-7.906072764,2.790038045,-33775.58805,23
6528,ligand_6528.sdf,-10.69562165,-7.930224922,2.765396728,-33775.65582,28
6529,ligand_6529.sdf,-10.69639908,-7.920309741,2.776089343,-33775.63596,35
653,ligand_653.sdf,-10.75544465,-7.755102493,3.000342156,-25780.59213,4
6530,ligand_6530.sdf,-10.69397983,-7.914835241,2.779144585,-33775.59489,28
6531,ligand_6531.sdf,-10.69424457,-7.918916049,2.775328521,-33775.59357,22
6532,ligand_6532.sdf,-10.69105359,-7.944066219,2.746987375,-33775.65758,26
6533,ligand_6533.sdf,-10.69669624,-7.92409872,2.77259752,-33775.64594,35
6534,ligand_6534.sdf,-10.69789086,-7.911705584,2.786185277,-33775.59038,21
6535,ligand_6535.sdf,-10.5078029,-8.011745323,2.496057572,-33775.9836,18
6536,ligand_6536.sdf,-10.50894999,-8.042336573,2.466613421,-33776.02476,15
6537,ligand_6537.sdf,-10.48952259,-7.996313099,2.493209488,-33775.9909,19
6538,ligand_6538.sdf,-10.49782666,-7.999742281,2.498084382,-33776.02983,15
6539,ligand_6539.sdf,-10.33971563,-7.682062569,2.657653065,-33775.85059,21
654,ligand_654.sdf,-10.16249212,-7.954588588,2.207903532,-25780.88671,3
6540,ligand_6540.sdf,-10.56713743,-7.623493695,2.943643735,-33775.68307,24
6541,ligand_6541.sdf,-10.62931884,-7.888301531,2.741017307,-33776.75443,19
6542,ligand_6542.sdf,-10.64235964,-7.892622631,2.749737009,-33775.70655,17
6543,ligand_6543.sdf,-10.63493542,-7.898788893,2.736146522,-33776.75311,20
6544,ligand_6544.sdf,-10.64450819,-7.894692431,2.74981576,-33775.70682,17
6545,ligand_6545.sdf,-10.4919211,-7.63573244,2.856188661,-33775.7414,32
6546,ligand_6546.sdf,-10.33992458,-7.416296013,2.923628563,-33775.86087,29
6547,ligand_6547.sdf,-10.61998004,-7.883871124,2.736108912,-33776.53685,20
6548,ligand_6548.sdf,-10.61867096,-7.882668548,2.736002409,-33776.54911,19
6549,ligand_6549.sdf,-10.00216588,-8.239419971,1.762745912,-33776.34038,16
655,ligand_655.sdf,-10.16257766,-7.955286271,2.20729139,-25780.88841,3
6550,ligand_6550.sdf,-9.578567295,-8.657009991,0.921557304,-33776.10454,13
6551,ligand_6551.sdf,-10.01148325,-8.271890496,1.739592752,-33776.32777,18
6552,ligand_6552.sdf,-9.831206359,-8.411870306,1.419336054,-33776.28234,17
6553,ligand_6553.sdf,-10.22786301,-7.649344207,2.578518802,-33671.023,16
6554,ligand_6554.sdf,-10.26130486,-7.639930908,2.62137395,-33671.02876,17
6555,ligand_6555.sdf,-10.24033587,-7.643467622,2.596868243,-33671.02569,18
6556,ligand_6556.sdf,-10.20356371,-7.646550723,2.557012985,-33671.00445,17
