"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N1C[C@H](O)C[C@H]1COC",185.10519334,"Covalent"
"C=CC(=O)N1C[C@@H](CO)[C@H](F)C1",173.085206844,"Covalent"
"C=CC(=O)NC(CO)c1ccnn1C",195.100776656,"Covalent"
"C=CC(=O)NC[C@H]1CCC[C@@H]1O",169.11027872,"Covalent"
"C=CC(=O)Nc1cccnc1",148.063662876,"Covalent"
"C=CC(=O)N1CCCSCC1",171.071785036,"Covalent"
"C=CC(=O)N1CCNC(=O)C1C",168.089877624,"Covalent"
"C=CC(=O)NC1CCCCNC1=O",182.105527688,"Covalent"
"C=CC(=O)NC1CCOC(C)(C)C1",183.125928784,"Covalent"
"C=CC(=O)N1CCCC(CCC)CC1",195.162314292,"Covalent"
"C=CC(=O)N[C@@H]1C=C[C@H](CO)C1",167.094628656,"Covalent"
"C=CC(=O)N1CCCC(O)(C(=O)O)C1",199.084457896,"Covalent"
"C=CC(=O)NCC(C)c1nncn1C",194.116761068,"Covalent"
"C=CC(=O)NCC1CNC(=O)C1",168.089877624,"Covalent"
"C=CC(=O)NC1CSCC1C",171.071785036,"Covalent"
"C=CC(=O)NCc1ccns1",168.035733876,"Covalent"
"C=CC(=O)NC1C(C)CCCC1C",181.146664228,"Covalent"
"C=CC(=O)N1CCC(=O)N(C)CC1",182.105527688,"Covalent"
"C=CC(=O)NC1COC(C2CC2)C1",181.11027872,"Covalent"
"C=CC(=O)N1CCC(CCC#N)CC1",192.126263132,"Covalent"
"C=CC(=O)N(C)Cc1conc1CC",194.105527688,"Covalent"
"C=CC(=O)N1CCn2nccc21",163.074561908,"Covalent"
"C=CC(=O)N1CC(CCOC)C1",169.11027872,"Covalent"
"C=CC(=O)N1CC2CC1(C(N)=O)C2",180.089877624,"Covalent"
"C=CC(=O)N1CC2COCC2(C)C1",181.11027872,"Covalent"
"C=CC(=O)NC1CCN(C)C(=O)C1",182.105527688,"Covalent"
"C=CC(=O)Nc1cc2ccccn2n1",187.074561908,"Covalent"
"C=CC(=O)Nc1nc2ncccn2n1",189.065059844,"Covalent"
"C=CC(=O)N1CCOCC12CCOC2",197.10519334,"Covalent"
"C=CCC1(O)CN(C(=O)C=C)C1",167.094628656,"Covalent"
