"Molecule (Canonical)","ExactMW","Source"
"N#CC(=Cc1cccs1)C(=O)NCc1ccccc1",268.067034004,"Fragment"
"COc1ccc(C=C(C#N)C(=O)O)cc1C#N",228.053492116,"Fragment"
"COC(=O)C(C#N)=Cc1cnn(-c2ccccc2)c1",253.085126592,"Fragment"
"N#CC(C(=O)CCl)=C(c1ccc(F)cc1)N1CCCCC1",306.093519032,"Fragment"
"N#CC(=Cc1cc(F)ccc1F)C(=O)NC1CCCC1",276.10741950799996,"Fragment"
"CCCn1c(C)cc(C=C(C#N)C(=O)Nc2ccc3c(c2)C(=O)NC3)c1C",362.174275944,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1cc(C)n(-c2ccc(C)cc2)c1C",319.168462292,"Fragment"
"CCCn1c(C)cc(C=C(C#N)C(=O)N2CCc3sccc3C2)c1C",353.156183356,"Fragment"
"CC(C)(C)C(=O)C(C#N)=Cc1cccnc1Cl",248.071640716,"Fragment"
"CC(C)OC(=O)C(C#N)=Cc1ccc([N+](=O)[O-])o1",250.05897142,"Fragment"
"COC(=O)C(C#N)=CC1=Cc2ccccc2OC1",241.073893212,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1cnn(-c2ccc(Cl)cc2)c1",312.077788716,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cn(-c2ccc(F)cc2Cl)nn1",333.07926593600007,"Fragment"
"COc1cc(CNC(=O)C(C#N)=Cc2ccco2)c2ccccc2n1",333.1113413400001,"Fragment"
"Cc1cc(C=C(C#N)C(=O)OC(C)C)cc(C)c1OC(F)F",309.117649844,"Fragment"
"N#CC(=Cc1ccc(F)c(-c2cccs2)c1)C(=O)Nc1nccs1",355.02493216,"Fragment"
"COc1cc(C=C(C#N)C(N)=O)ccc1OC(F)F",268.06594862000003,"Fragment"
"COCCNC(=O)C(C#N)=Cc1cc([N+](=O)[O-])ccc1Cl",309.051633544,"Fragment"
"CCOC(=O)C(C#N)=Cc1ccc(N2CCOCC2)cc1",286.131742436,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)NCc1ccco1",296.079706864,"Fragment"
"Cc1nn(Cc2ccccc2Cl)c(C)c1C=C(C#N)C(=O)O",315.07745436799996,"Fragment"
"Cc1ccc(C)c(-n2nc(C)c(C=C(C#N)C(=O)O)c2Cl)c1",315.077454368,"Fragment"
"CC(=O)N(c1ccc(C)c(C)c1)c1nc(C=C(C#N)C(=O)O)cs1",341.08341233999994,"Fragment"
"COc1ccccc1NC(=O)C(C#N)=Cc1ccco1",268.084792244,"Fragment"
"CC(=O)Nc1ccc(C=C(C#N)C(=O)Nc2c(C)cc(C)cc2C)cc1",347.163376912,"Fragment"
"CC(C)NC(=O)C(C#N)=Cc1ccc(C(F)(F)F)cc1",282.097997696,"Fragment"
"N#CC(=Cc1cccc(Br)c1)C(=O)N1CCCCC1",318.0367752,"Fragment"
"CC(C)NC(=O)C(C#N)=Cc1ccccc1Br",292.021125136,"Fragment"
"CC1CCCCC1NC(=O)C(C#N)=Cc1ccc([N+](=O)[O-])o1",303.121906024,"Fragment"
"CC1CCCCC1NC(=O)C(C#N)=Cc1ccc(C(F)(F)F)cc1",336.144947888,"Fragment"
"Cc1c(Cl)cccc1NC(=O)C(C#N)=Cc1cccs1",302.0280616520001,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)NCC1CCCO1",256.121177752,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)NC1CC1",212.094963004,"Fragment"
"N#CC(=Cc1ccco1)C(=O)NC1CC1",202.07422756,"Fragment"
"CC(=Cc1ccccc1)C=C(C#N)C(=O)NC1CC1",252.126263132,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2ccsc2)cc1OC",314.072513308,"Fragment"
"Cc1ccc(C)c(NC(=O)C(C#N)=Cc2cccn2C)c1",279.137162164,"Fragment"
"CCOc1ccc(NC(=O)C(C#N)=Cc2ccc(F)cc2)cc1",310.11175594,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1ccc(OC)c(OC)c1",272.116092372,"Fragment"
"N#CC(=Cc1ccc(OC(F)F)cc1)C(=O)Nc1ccccc1",314.086684064,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)N1CCCC1",226.110613068,"Fragment"
"CCOc1ccc(C=C(C#N)C(=O)Nc2nccs2)cc1",299.072847656,"Fragment"
"N#CC(=Cc1ccc(Cl)cc1)C(=O)Nc1ccc2c(c1)OCCO2",340.061469956,"Fragment"
"N#CC(=Cc1ccccc1Cl)C(=O)Nc1ccccn1",283.05123962000005,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)Nc2nccs2)o1",259.041547528,"Fragment"
"CC(NC(=O)C(C#N)=Cc1nc(Cl)cs1)c1ccccc1",317.038960684,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2c(Cl)nc3ccccn23)cc1",352.0727033360001,"Fragment"
"COc1ccc(O)c(C=C(C#N)C(=O)Nc2ccccc2F)c1",312.09102049600006,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)N1CCCc2ccccc21",288.12626313199996,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)NCc1ccc(F)cc1",280.101191256,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)Nc1cccc2c1C(=O)NC2=O",361.06987045200003,"Fragment"
"N#CC(=Cc1ccc(OC(=O)c2ccccn2)cc1)C(N)=O",293.080041212,"Fragment"
"N#CC(=Cc1ccc(-c2cc(C(F)(F)F)ccc2Cl)o1)C(=O)O",341.006655424,"Fragment"
"CC(=O)N1CCN(C(=O)C(C#N)=Cc2ccccc2)CC1",283.132076784,"Fragment"
"Cc1noc(C)c1COc1ccc(C=C(C#N)C(=O)O)cc1",298.095356928,"Fragment"
"CN(C(=O)C(C#N)=Cc1ccco1)c1ccc(F)cc1",270.080455812,"Fragment"
"Cn1cc(C=C(C#N)C(=O)NCc2ccccc2)cn1",266.116761068,"Fragment"
"COc1ccc(C=c2sc(=C(C#N)C=O)n(C)c2=O)cc1",300.056863244,"Fragment"
"N#CCOc1ccc(C=C(C#N)C(N)=O)cc1",227.069476528,"Fragment"
"CCOC=C(C#N)C(=O)NC1CC(OCC)C12CCCC2",292.178692628,"Fragment"
"COCCOC(=O)C(C#N)=Cc1c[nH]nc1-c1ccc(F)cc1",315.101919528,"Fragment"
"N#CC(=Cc1cnn(Cc2ccccc2)c1)C(=O)O",253.085126592,"Fragment"
"COCC(C)NC(=O)C(C#N)=Cc1cccc(F)c1F",280.102334128,"Fragment"
"CCc1ccc(NC(=O)C(C#N)=Cc2cc(Br)co2)cc1",344.016039756,"Fragment"
"Cc1cc(C=C(C#N)C(N)=O)ccc1Oc1cccnc1",279.100776656,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2ccco2)c(Cl)c1",302.045819892,"Fragment"
"CN(C)c1ccc(C=C(C#N)C(=O)Nc2ccc3c(c2)CCC(=O)N3)cc1",360.15862588,"Fragment"
"N#CC(=Cc1csc(COc2ccccc2)n1)C(N)=O",285.057197592,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2c(C)n[nH]c2C)cc1",296.127325752,"Fragment"
"N#CC(=Cc1ccccc1OCC(F)(F)F)C(N)=O",270.061612188,"Fragment"
"N#CC(=Cc1ccc(OCC(F)F)cc1)C(N)=O",252.071034,"Fragment"
"N#CC(=Cc1cc2cc(F)ccc2o1)C(=O)O",231.033171272,"Fragment"
"COCC(C)NC(=O)C(C#N)=Cc1occc1C",248.116092372,"Fragment"
"CCc1ccc(C=C(C#N)C(=O)NCc2ccccc2C)o1",294.13682781599994,"Fragment"
"CCC(NC(=O)C(C#N)=Cc1ccn(C)c1)c1ccccc1",293.152812228,"Fragment"
"CCc1ccc(C=C(C#N)C(=O)NC(C)c2ccccc2)o1",294.13682781599994,"Fragment"
"CNC(=O)C(C#N)=Cc1nc2ccccc2n1C",240.101111004,"Fragment"
"CC(C)CNC(=O)C(C#N)=Cc1nccn1-c1ccccc1",294.148061196,"Fragment"
"N#CC(=Cc1cccc(-c2ccncc2)c1)C(=O)O",250.07422756,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cnc2cccc(C)n12",268.132411132,"Fragment"
"N#CC(=Cc1ccc(O)cc1)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](c1ccccc1)C2",358.168127944,"Fragment"
"COc1ccc(N2CCN(C(=O)C(C#N)=Cc3cn[nH]c3)CC2)cc1",337.15387484800004,"Fragment"
"CCCC(NC(=O)C(C#N)=Cc1cnn(C)c1)c1ccccc1",308.16371126,"Fragment"
"CCC(NC(=O)C(C#N)=Cc1nn(C)c(C)c1Cl)c1ccccc1",342.124738908,"Fragment"
"CCCNC(=O)C(C#N)=Cc1c(C2CC2)cnn1C",258.148061196,"Fragment"
"CCCNC(=O)C(C#N)=Cc1ccsc1C(F)(F)F",288.054418632,"Fragment"
"CCCNC(=O)C(C#N)=Cc1oc(C)nc1C",233.11642672,"Fragment"
"Cc1cccc(NC(=O)C(C#N)=Cc2cnn(C3CCC3)c2)c1C",320.16371126,"Fragment"
"Cc1cccc(-n2c(C)cc(C=C(C#N)C(=O)N3CNC(=O)C3)c2C)c1",348.15862588,"Fragment"
"CCCNC(=O)C(C#N)=Cc1nn(C)cc1Cl",252.077788716,"Fragment"
"CCCNC(=O)C(C#N)=Cc1ccc2c(c1)C(C)C(C)O2",284.15247788,"Fragment"
"CC(C)CNC(=O)C(C#N)=Cc1cc2ncccc2o1",269.11642672,"Fragment"
"CC(F)(F)c1cccc(C=C(C#N)C(=O)NC2CCCC2)c1",304.13871963599996,"Fragment"
"CCCNC(=O)C(C#N)=Cc1c(Cl)ccc2c1OCO2",292.061469956,"Fragment"
"CCCNC(=O)C(C#N)=Cc1c(F)cncc1N(C)C",276.13863938400004,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cc(OC)ncc1F",263.107004908,"Fragment"
"N#CC(=Cc1c[nH]nc1-c1ccccc1Br)C(=O)O",316.97998859599994,"Fragment"
"N#CC(=Cc1ccsc1)C(N)=O",178.020083812,"Fragment"
"Cn1cc(C=C(C#N)C(=O)O)cn1",177.053826464,"Fragment"
"N#CC(=Cc1ccc(Cl)s1)C(N)=O",211.98111146,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)O",217.037507704,"Fragment"
"COC(=O)C(C#N)=Cc1ccc(OC)cc1",217.073893212,"Fragment"
"COC(=O)C(C#N)=Cc1ccc(Cl)c(Cl)c1",254.985383824,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)NCc1ccccc1",306.100442308,"Fragment"
"Cc1cc(C=C(C#N)C(=O)O)c(C)n1C1CC1",230.105527688,"Fragment"
"COC(=O)C(C#N)=Cc1cc(Cl)c2c(c1)OCO2",265.014185416,"Fragment"
"COC(=O)C(C#N)=Cc1ccc(OC)c2ccccc12",267.08954327600003,"Fragment"
"CNC(=O)C(C#N)=Cc1cccc(OC(C)C(=O)O)c1",274.095356928,"Fragment"
"CCOC=C(C#N)C(=O)NC1CCCCC1OC1CCCC1",306.194342692,"Fragment"
"COCCn1c(C)cc(C=C(C#N)C(=O)NC2CC2)c1C",287.163376912,"Fragment"
"COc1cccc(NC(=O)C(C#N)=Cc2ccc([N+](=O)[O-])o2)c1",313.069870452,"Fragment"
"N#CC(=Cc1ccc([N+](=O)[O-])o1)C(=O)Nc1cc(Cl)ccc1Cl",350.981361064,"Fragment"
"Cc1nn(C)c2ncc(C=C(C#N)C(=O)NC(C)C)cc12",283.143310164,"Fragment"
"C=CCNC(=O)C(C#N)=CC1=Cc2ccccc2OC1",266.105527688,"Fragment"
"CCCn1c(C)cc(C=C(C#N)C(=O)N2CCCC(C)C2)c1C",313.215412484,"Fragment"
"Cc1c(C=C(C#N)C(=O)Nc2ccccc2F)cc(C#N)n1C",308.10733925600005,"Fragment"
"COc1ccccc1-c1ccc(C=C(C#N)C(N)=O)cc1",278.105527688,"Fragment"
"N#CC(=Cc1ccc(Br)cc1F)C(=O)NCc1ccccc1",358.011703324,"Fragment"
"COc1ccc(C(=O)Nc2cccc(C=C(C#N)C(=O)O)c2)cc1",322.095356928,"Fragment"
"COC(=O)C(C#N)=Cc1ccc(OCCC(C)C)cc1",273.136493468,"Fragment"
"CCc1cccc2c(C=C(C#N)C(N)=O)c[nH]c12",239.105862036,"Fragment"
"N#CC(=Cc1ccsc1)C(=O)NCc1ccc(Cl)cc1",302.028061652,"Fragment"
"C#CCOc1ccccc1C=C(C#N)C(=O)Nc1ccccc1F",320.096105876,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)Nc2ccc(Cl)cc2)s1",302.0280616520001,"Fragment"
"CCOC(=O)C(C#N)=Cc1cc(C)n(-c2ccccc2)c1C",294.136827816,"Fragment"
"Cc1cc(C=C(C#N)C(N)=O)c(C)n1Cc1ccco1",269.11642672,"Fragment"
"CC(NC(=O)C(C#N)=Cc1c(F)cccc1F)c1ccccc1",312.10741950799996,"Fragment"
"CCOC(=O)C(C#N)=Cc1ccc(-c2cccc(Cl)c2)o1",301.05057092399994,"Fragment"
"N#CC(=Cc1ccccc1)C(=O)Nc1ccccc1F",266.085541192,"Fragment"
"N#CC(=Cc1ccc(N2CCOCC2)cc1)C(=O)Nc1ccccc1F",351.13830503599996,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)Nc1cccc(C(F)(F)F)c1",360.07217687200006,"Fragment"
"COc1cc(C=C(C#N)C(N)=O)cc(OC)c1OC",262.095356928,"Fragment"
"Cc1[nH]c2ccccc2c1C=C(C#N)C(N)=O",225.090211972,"Fragment"
"COc1ccc(C=C(C#N)C(=O)Nc2cccc(C(F)(F)F)c2)cc1O",362.087826936,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2ccsc2)cc1Cl",318.02297627200005,"Fragment"
"N#CC(=Cc1cccc(Oc2ccccc2)c1)C(=O)N1CCCC1",318.136827816,"Fragment"
"COc1ccccc1NC(=O)C(C#N)=Cc1ccc(F)cc1",296.096105876,"Fragment"
"CC(C)NC(=O)C(C#N)=Cc1cccc(Cl)c1",248.071640716,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)N2CCCC2)cc1",240.126263132,"Fragment"
"Cc1ccc(NC(=O)C(C#N)=Cc2ccc3c(c2)OCCO3)c(C)c1",334.13174243599997,"Fragment"
"Cc1ccsc1C=C(C#N)C(=O)NC1CCCCC1C",288.12963426,"Fragment"
"CCOC(=O)c1ccc(NC(=O)C(C#N)=Cc2ccco2)cc1",310.095356928,"Fragment"
"COc1cccc2cc(C=C(C#N)C(=O)Nc3ccc(C)cc3)oc12",332.11609237199997,"Fragment"
"C=CCNC(=O)C(C#N)=Cc1c(OC)ccc2ccccc12",292.121177752,"Fragment"
"COc1ccc(C=C(C#N)C(=O)Nc2ccccc2)cc1",278.105527688,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)N2CCOCC2)s1",262.077598688,"Fragment"
"CN1CCN(C(=O)C(C#N)=Cc2ccc(F)cc2)CC1",273.127740352,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2cccc(O)c2)cc1Cl",328.06146995600005,"Fragment"
"N#CC(=Cc1cccs1)C(=O)Nc1ccc2c(c1)OCCO2",312.05686324399994,"Fragment"
"N#CC(=Cc1c[nH]c2ccccc12)C(=O)Nc1ccc2c(c1)OCCO2",345.11134133999997,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCCO2)C(=O)Nc1ccccn1",307.0956912760001,"Fragment"
"N#CC(=Cc1cccs1)C(=O)Nc1nccs1",261.003053844,"Fragment"
"N#CC(=Cc1ccncc1)C(=O)Nc1nccs1",256.041881876,"Fragment"
"CCN(CC)C(=O)C(C#N)=Cc1cc(Br)cs1",311.99319613600005,"Fragment"
"N#CC(=Cc1csc([N+](=O)[O-])c1)C(=O)NC1CCCC1",291.06776227600005,"Fragment"
"CC(C)c1nn(C)c(Cl)c1C=C(C#N)C(=O)O",253.061804304,"Fragment"
"CC(=O)N(c1ccc(Cl)cc1)c1nc(C=C(C#N)C(=O)O)cs1",347.01313985999997,"Fragment"
"CN(C)c1ccc(C=C(C#N)C(=O)Nc2cccc3ncccc23)cc1",342.148061196,"Fragment"
"CCOc1ccc(C=C(C#N)C(=O)Nc2cccc3ncccc23)cc1",343.132076784,"Fragment"
"CCOc1ccc(C=C(C#N)C(=O)N2CCCCC2C)cc1",298.168127944,"Fragment"
"N#CC(=Cc1ccc2c(c1)OCO2)C(=O)N1CCc2ccccc21",318.100442308,"Fragment"
"COC(=O)C(C#N)=Cc1csc(-c2cccs2)n1",276.002719496,"Fragment"
"Cc1cc(C=C(C#N)C(=O)O)c(C)n1-c1ccnn1C(C)C",298.142975816,"Fragment"
"CNC(=O)C(C#N)=Cc1cc(C)n(-c2cc(C)on2)c1C",284.127325752,"Fragment"
"CC(C)OC(=O)C(C#N)=Cc1cnn(C)c1",219.100776656,"Fragment"
"Cc1cc(C=C(C#N)C(=O)N2CCC2)c(C)n1C1CC1",269.152812228,"Fragment"
"N#CC(=Cc1csc(COc2ccc(Cl)cc2)n1)C(=O)O",320.00224082799997,"Fragment"
"Cc1cc(COC(=O)C(C#N)=Cc2ccc(N(C)C)cc2)no1",311.126991404,"Fragment"
"N#CC(=Cc1cc(Br)co1)C(=O)Nc1ccc(C(=O)O)cc1",359.974568868,"Fragment"
"N#CC(=Cc1csc(-c2ccsc2)n1)C(=O)O",261.987069432,"Fragment"
"COc1ccc(-c2n[nH]cc2C=C(C#N)C(=O)Nc2ccccc2)cc1",344.127325752,"Fragment"
"Cc1cccc(C)c1NC(=O)C(C#N)=Cc1cn(C)nc1-c1cccnc1",357.15896022800007,"Fragment"
"CCc1oc2ccccc2c1C=C(C#N)C(=O)NC1CC1",280.121177752,"Fragment"
"N#CC(=Cc1nccs1)C(=O)NC1CCCCC1",261.0935831,"Fragment"
