batch_size,hidden_dim,learning_rate,gcn_test_acc,gcn_test_mcc,gcn_gen_all_acc,gcn_gen_all_mcc,gin_test_acc,gin_test_mcc,gin_gen_all_acc,gin_gen_all_mcc,gat_test_acc,gat_test_mcc,gat_gen_all_acc,gat_gen_all_mcc
128,16,0.001,0.9764340362299738,0.9523167809265279,0.7692307692307692,0.6352618508970986,0.9886051142696658,0.976856985283327,0.7051282051282052,0.549859018475258,0.9833569061149774,0.9661743282927681,0.8290598290598291,0.7068117671356182
128,32,0.0001,0.6109796991152286,0.1918209891687096,0.5897435897435898,-0.00022793628010164672,0.984220095308442,0.9680036404422824,0.6666666666666666,0.5004535117142637,0.9786262398047679,0.9566392431808803,0.7222222222222222,0.5667566466520643
128,32,0.0005,0.9741523541081419,0.9477031857795972,0.7905982905982906,0.6536851442851049,0.9908834237758885,0.9815046528614069,0.6752136752136751,0.5099822758931557,0.985433474560223,0.970339085559694,0.8632478632478632,0.7596802348353116
128,32,0.001,0.9794889930784737,0.958548036253585,0.8034188034188036,0.6794472313045476,0.9931928876068721,0.9861311561474189,0.7735042735042734,0.6331342772140497,0.986702050143326,0.9729468951632324,0.9188034188034188,0.846378404798562
128,64,0.0001,0.7702662233086498,0.5661820111561037,0.5598290598290597,0.31227885838439723,0.9915772154400188,0.9828684804200353,0.8119658119658119,0.6840294186024992,0.9779913841745499,0.95551034094054,0.7350427350427351,0.5812151364128414
128,64,0.0005,0.9832692974192346,0.9659926664945248,0.8547008547008547,0.7443968435096052,0.992587561174774,0.9848852254727808,0.7264957264957266,0.5709673145600832,0.983355070680071,0.9662742239996717,0.8846153846153846,0.7917630426090015
128,64,0.001,0.9891548428670714,0.9778876695245581,0.8888888888888888,0.7980999782256584,0.9920392129793548,0.9838074176399125,0.7564102564102564,0.6211355801907426,0.987423902657651,0.9743877754300342,0.8461538461538461,0.7414033713617597
256,8,0.0001,0.6400203452292089,0.34940190651869685,0.4914529914529915,0.177633445648698,0.8302339439108682,0.7259869173048258,0.5982905982905983,0.3832246006590321,0.5643859603955056,0.11937124333270079,0.5598290598290598,-0.11008257207811108
256,8,0.0005,0.6464838560165228,0.36544945226548137,0.5512820512820512,0.28145565072327366,0.9788563208569828,0.956984209312989,0.6538461538461539,0.4846086017087811,0.8228833955950888,0.6410166457193315,0.5555555555555555,0.16195054658524724
256,8,0.001,0.8994483693573708,0.7965812674403083,0.782051282051282,0.5874498944450554,0.9892421188922217,0.978206042160473,0.6452991452991452,0.47222077288750897,0.9796051520737193,0.9586120333066394,0.8076923076923076,0.6864190442070761
