batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gcn_gen_all_acc,gcn_gen_all_mcc,gin_test_acc,gin_test_mcc,gin_gen_all_acc,gin_gen_all_mcc,gat_test_acc,gat_test_mcc,gat_gen_all_acc,gat_gen_all_mcc
64,8,0.0001,0,0.7818181818181819,0.5628331747575367,0.6153846153846154,0.2673692565592316,0.9690909090909091,0.9380330534484252,0.8461538461538461,0.7308191058363557,0.6157575757575757,0.2761848763554589,0.358974358974359,-0.1297033713089394
64,16,0.001,42,0.9836462749848577,0.9666593695320951,0.7948717948717948,0.6587970897341433,0.9921259842519685,0.9839580494570113,0.7435897435897436,0.5918367346938775,0.9897032101756511,0.9789996029597923,0.8205128205128205,0.6940659729095142
64,16,0.001,21,0.9797612869745719,0.9586757741673791,0.8076923076923077,0.676260590231173,0.98858329008822,0.976492740718567,0.7948717948717948,0.6587970897341433,0.9875454073689673,0.9743545165632151,0.8333333333333334,0.712241974147557
64,16,0.001,0,0.9745454545454545,0.9487279735471995,0.7564102564102564,0.6081923702116572,0.9903030303030304,0.9804753727313984,0.5897435897435898,0.4061257273186433,0.9806060606060606,0.961431940513244,1.0,1.0
64,16,0.0005,42,0.9672925499697154,0.9332560599428522,0.7435897435897436,0.5918367346938775,0.9909145972138098,0.9814703276774388,0.6025641025641025,0.42136803439293213,0.9769836462749849,0.9531749556406723,0.8333333333333334,0.712241974147557
64,16,0.0005,21,0.975609756097561,0.9505858227457925,0.6923076923076923,0.528363767760449,0.9922158796056045,0.983975571674248,0.7948717948717948,0.6587970897341433,0.9854696419304618,0.9701406406327184,0.8333333333333334,0.712241974147557
64,16,0.0005,0,0.9660606060606061,0.9318509829405655,0.8461538461538461,0.7308191058363557,0.9927272727272727,0.9853516141260981,0.6282051282051282,0.45175395145262565,0.9836363636363636,0.9671786959028488,0.6153846153846154,0.4365678536420445
64,16,0.0001,42,0.8746214415505754,0.746176349999098,0.782051282051282,0.5906101308636399,0.9897032101756511,0.9790199544602531,0.8076923076923077,0.676260590231173,0.6868564506359782,0.3524089393541946,0.5897435897435898,0.22923660489181788
64,16,0.0001,21,0.5843279709392839,0.0,0.6282051282051282,0.0,0.9911779968863519,0.9818896785936901,0.6538461538461539,0.48219009594737383,0.9761286974571873,0.9509649603875129,0.8461538461538461,0.7308191058363557
64,16,0.0001,0,0.896969696969697,0.7928789365299489,0.782051282051282,0.6416482767773892,0.983030303030303,0.9658174254684077,0.5897435897435898,0.4061257273186433,0.7393939393939394,0.47314693922784556,0.5641025641025641,0.09293375873992617
