sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
"O=C(O)C(F)(F)F.CN1C=CN=C1[C@@H]2OCCC[C@H]2CN3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O |&1:13,18,r|",Z9352683482,565.586,451.562,0.509,-3.06,1,5,79.7,6,https://real.enamine.net/public-enum-files/Z9352683482
O=C(O)C(F)(F)F.CC=1C(=CC=CC1C(=O)N(C)C[C@@H]2C[C@H](F)CN2CC=3C=NN(C)C3)N4CCC(=O)NC4=O,Z9310310481,570.538,456.514,-0.105,-3.258,1,5,90.78,7,https://real.enamine.net/public-enum-files/Z9310310481
O=C(NC=1C=CC(F)=C(C1)N2CCC(=O)NC2=O)C34CC(C3)(COC4)C5=CC=C(Cl)S5,Z9302747282,463.911,463.911,1.328,-5.58,2,4,87.74,4,https://real.enamine.net/public-enum-files/Z9302747282
O=C(O)C(F)(F)F.CC1=NC(=CS1)CN2C[C@@H](F)C[C@H]2CN(C)C(=O)C=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9318551641,608.007,493.984,0.913,-4.251,1,5,85.85,7,https://real.enamine.net/public-enum-files/Z9318551641
C[C@H](O)[C@@H](C)N1C=C(N=N1)C2=CC=3CN(CCC3S2)C(=O)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9302747649,494.568,494.568,0.103,-4.161,2,6,120.66,5,https://real.enamine.net/public-enum-files/Z9302747649
"CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N[C@@H]3CC[C@H](CN4C=C(CCOCC(N)=O)N=N4)C3 |&1:18,21,r|",Z9302747691,497.548,497.548,-2.312,-3.229,3,7,161.54,10,
COCCCC(C)(C)C1=CN(C[C@H]2C[C@H](O)CN2C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)N=N1,Z9302747710,498.576,498.576,-1.259,-2.831,2,7,129.89,9,https://real.enamine.net/public-enum-files/Z9302747710
CC=1C=CC(=CC1C(=O)NC2CC(C2)C3=CN(N=N3)C=4C=CC=5CCCNC5C4)N6CCC(=O)NC6=O,Z9302747725,499.566,499.566,0.814,-4.563,3,6,121.25,5,https://real.enamine.net/public-enum-files/Z9302747725
CS1(=O)=NCC=2C(=CC=CC21)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9302747733,355.413,355.413,0.673,-5.323,1,4,78.84,2,https://real.enamine.net/public-enum-files/Z9302747733
COC=1C=CC=C2OCC(CC12)NC=3C=CC(=C(C)C3)N4CCC(=O)NC4=O,Z9302747799,381.426,381.426,1.732,-4.51,2,5,79.9,4,https://real.enamine.net/public-enum-files/Z9302747799
O=C(O)C(F)(F)F.CC1=CC=C(C=C1NC(=O)[C@H]2CCCN2CC=3N=NN(C)N3)N4CCC(=O)NC4=O,Z9398063811,526.47,412.447,-1.474,-2.444,2,7,125.35,6,https://real.enamine.net/public-enum-files/Z9398063811
O=C(N=S1(=O)CCC(CC1)C=2N=NNN2)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z9302748036,417.444,417.444,-1.832,-3.904,2,8,150.37,3,https://real.enamine.net/public-enum-files/Z9302748036
N#CC=1C=CC=NC1NCC2CCN(C2)C(=O)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z9302748049,418.45,418.45,-0.939,-4.27,2,6,118.43,5,https://real.enamine.net/public-enum-files/Z9302748049
CCCNC(=O)CC(C(N)=O)N(CCC)C(=O)C=1C=CC(=CC1)N2CCC(=O)NC2=O,Z9302748212,431.486,431.486,-1.066,-3.934,3,5,141.91,10,https://real.enamine.net/public-enum-files/Z9302748212
CC(=O)N1C=CC=2C=CC=CC2C1CC(=O)NC=3C=C(C=CC3C)N4CCC(=O)NC4=O,Z9302748220,432.473,432.473,-0.068,-5.263,2,4,98.82,4,https://real.enamine.net/public-enum-files/Z9302748220
CC(C1=NOC(CC=2C=CC=CC2)=N1)N(C)C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9302748224,433.461,433.461,-0.036,-3.903,1,5,108.64,6,https://real.enamine.net/public-enum-files/Z9302748224
O=C(NC1C=2C=CC=CC2CC31CCCCC3)C=4C=C(C=CC4F)N5CCC(=O)NC5=O,Z9302748257,435.492,435.492,2.84,-6.474,2,3,78.51,3,https://real.enamine.net/public-enum-files/Z9302748257
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)NCCCOC3CCCC=4C=CC=CC43,Z9302748258,435.517,435.517,2.281,-5.279,2,4,87.74,7,https://real.enamine.net/public-enum-files/Z9302748258
O=C(O)C(F)(F)F.CC=1C=CC(=CC1NC(=O)C(N)CC2=CNC=3C=C(Cl)C=CC23)N4CCC(=O)NC4=O,Z9314605185,553.919,439.895,0.368,-6.222,4,4,120.32,6,https://real.enamine.net/public-enum-files/Z9314605185
CC(C)N1C=C2CCCC(C(=O)N3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O)C2=N1,Z9302748726,463.573,463.573,1.024,-3.835,1,4,87.54,4,https://real.enamine.net/public-enum-files/Z9302748726
O=C(O)C(F)(F)F.O=C(C1=CN(N=N1)C2CCCNCC2)N3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9311796277,579.573,465.549,-1.165,-3.08,2,6,112.46,5,https://real.enamine.net/public-enum-files/Z9311796277
